,CHECK,CRV-C,CRV-O,CVC,CVO,DOWN_MONSECTION,DRA_DEG,FR,FROM,FROM FILE,HEADER,LINE,NOTE,SHUTDS,T,TAGS,TO,UP_MONSECTION,XCOORD,YCOORD
,n/a,n/a,n/a,GAL/MIN-PSI.5,GAL/MIN-PSI.5,n/a,PERCENT,FR,n/a,n/a,n/a,n/a,n/a,n/a,MIN,n/a,n/a,n/a,n/a,n/a
B_BELPL_06_4_A0_MLV,No,BALL_NPS34_REMOTE_CAN_9MIN_30_70_EXISTING_CLOSE,BALL_NPS34_REMOTE_CAN_9MIN_30_70_EXISTING_OPEN,,199902,0,,1,NO_BELPL_06_4_S,INPREP_INC\KSTA\KSTA_IMLV.INC,No,69,,"""NO""",9,,NO_BELPL_06_4_D,0,10070,1688
B_BELPL_33_1_A0_MLV,No,BALL_NPS34_REMOTE_CAN_9MIN_30_70_EXISTING_CLOSE,BALL_NPS34_REMOTE_CAN_9MIN_30_70_EXISTING_OPEN,,199902,0,,1,NO_BELPL_33_1_S,INPREP_INC\KSTA\KSTA_IMLV.INC,No,71,,"""NO""",9,,NO_BELPL_33_1_D,0,10270,988
B_BELPL_45_1_A0_MLV,No,BALL_NPS34_REMOTE_CAN_12MIN_30_70_CLOSE,BALL_NPS34_REMOTE_CAN_12MIN_30_70_OPEN,,240300,0,,1,NO_BELPL_45_1_CKV_D,INPREP_INC\KSTA\KSTA_IMLV.INC,No,74,/* Manual,"""NO""",12,,NO_BELPL_45_1_D,0,10470,1688
B_BNDLO_20_5_A0_MLV,No,BALL_NPS30_REMOTE_CAN_6MIN_CLOSE,BALL_NPS30_REMOTE_CAN_6MIN_OPEN,,184400,0,,1,NO_BNDLO_20_5_S,INPREP_INC\KSTA\KSTA_IMLV.INC,No,37,,"""NO""",6,,NO_BNDLO_20_5_D,0,4470,1688
B_BNDLO_22_0_A0_MLV,No,BALL_NPS30_REMOTE_CAN_6MIN_CLOSE,BALL_NPS30_REMOTE_CAN_6MIN_OPEN,,184400,0,,1,NO_BNDLO_22_0_CKV_D,INPREP_INC\KSTA\KSTA_IMLV.INC,No,40,/* Manual,"""NO""",6,,NO_BNDLO_22_0_D,0,4470,1088
B_BRSTL_31_2_A0_MLV,No,BALL_NPS34_REMOTE_CAN_12MIN_30_70_EXISTING_CLOSE,BALL_NPS34_REMOTE_CAN_12MIN_30_70_EXISTING_OPEN,,199902,0,,1,NO_BRSTL_31_2_S,INPREP_INC\KSTA\KSTA_IMLV.INC,No,42,,"""NO""",12,,NO_BRSTL_31_2_D,0,4870,1788
B_BRYAN_01A_B0_MLV,No,BALL_NPS36_REMOTE_CSHNG_4.7MIN_CLOSE,BALL_NPS36_REMOTE_CSHNG_6MIN_80_20_OPEN,,271300,0,,1,NO_BRYAN_01A_S,INPREP_INC\KSTD\KSTD_IMLV.INC,No,93,,"""NO""",4.683,,NO_BRYAN_01A_D,0,37382,5553
B_BRYAN_01B_B0_MLV,No,BALL_NPS36_REMOTE_CSHNG_4.7MIN_CLOSE,BALL_NPS36_REMOTE_CSHNG_6MIN_80_20_OPEN,,271300,0,,1,NO_BRYAN_01B_S,INPREP_INC\KSTD\KSTD_IMLV.INC,No,31,,"""NO""",4.68,,NO_BRYAN_01B_D,0,37382,4953
B_BRYAN_02A_B0_MLV,No,BALL_NPS36_REMOTE_CSHNG_4.7MIN_CLOSE,BALL_NPS36_REMOTE_CSHNG_6MIN_80_20_OPEN,,271300,0,,1,NO_BRYAN_02A_CKV_D,INPREP_INC\KSTD\KSTD_IMLV.INC,No,33,,"""NO""",4.68,,NO_BRYAN_02A_D,0,37580,4153
B_BRYAN_02B_B0_MLV,No,BALL_NPS36_REMOTE_CSHNG_4.7MIN_CLOSE,BALL_NPS36_REMOTE_CSHNG_6MIN_80_20_OPEN,,271300,0,,1,NO_BRYAN_02B_S,INPREP_INC\KSTD\KSTD_IMLV.INC,No,35,,"""NO""",4.683,,NO_BRYAN_02B_D,0,37780,4653
B_BRYAN_03A_B0_MLV,No,BALL_NPS36_REMOTE_CSHNG_4.7MIN_CLOSE,BALL_NPS36_REMOTE_CSHNG_6MIN_80_20_OPEN,,271300,0,,1,NO_BRYAN_03A_S,INPREP_INC\KSTD\KSTD_IMLV.INC,No,37,,"""NO""",4.683,,NO_BRYAN_03A_D,0,37780,5153
B_BRYAN_04A_B0_MLV,No,BALL_NPS36_REMOTE_CSHNG_4.7MIN_CLOSE,BALL_NPS36_REMOTE_CSHNG_6MIN_80_20_OPEN,,271300,0,,1,NO_BRYAN_04A_CKV_D,INPREP_INC\KSTD\KSTD_IMLV.INC,No,39,,"""NO""",4.68,,NO_BRYAN_04A_D,0,37780,5653
