,CRV-C,CRV-O,CVC,CVO,CVOI,DRA_DEG,FR,FROM,FROM FILE,HEADER,LINE,MODE,NOTE,T,TAGS,TO,XCOORD,YCOORD
,n/a,n/a,GAL/MIN-PSI.5,GAL/MIN-PSI.5,n/a,PERCENT,FR,n/a,n/a,n/a,n/a,n/a,n/a,MIN,n/a,n/a,n/a,n/a
BC_BELPL_45_1_A0_CKV,Linear (built-in),Linear (built-in),,34000,34000,,,NO_BELPL_45_1_CKV_S,INPREP_INC\KSTA\KSTA_CKV.INC,No,19,0,,0.05,,NO_BELPL_45_1_CKV_D,10470,1488
BC_BNDLO_22_0_A0_CKV,Linear (built-in),Linear (built-in),,34000,34000,,,NO_BNDLO_22_0_CKV_S,INPREP_INC\KSTA\KSTA_CKV.INC,No,15,0,,0.05,,NO_BNDLO_22_0_CKV_D,4470,1288
BC_BRYAN_02A_B0_CKV,Linear (built-in),Linear (built-in),,61912,61912,,,NO_BRYAN_02A_CKV_S,INPREP_INC\KSTD\KSTD_CKV.INC,No,27,0,,0.05,,NO_BRYAN_02A_CKV_D,37382,4359
BC_BRYAN_04A_B0_CKV,Linear (built-in),Linear (built-in),,61912,61912,,,NO_BRYAN_04A_CKV_S,INPREP_INC\KSTD\KSTD_CKV.INC,No,21,0,,0.05,,NO_BRYAN_04A_CKV_D,37780,5491
BC_CARMA_49_2_A0_CKV,Linear (built-in),Linear (built-in),,34000,34000,,,NO_CARMA_49_2_CKV_S,INPREP_INC\KSTA\KSTA_CKV.INC,No,29,0,,0.05,,NO_CARMA_49_2_CKV_D,18670,1488
BC_CAROP_40_8_A0_CKV,Linear (built-in),Linear (built-in),,34000,34000,,,NO_CAROP_40_8_CKV_S,INPREP_INC\KSTA\KSTA_CKV.INC,No,17,0,,0.05,,NO_CAROP_40_8_CKV_D,9670,1488
BC_CNTRL_21_1_A0_CKV,Linear (built-in),Linear (built-in),,34000,34000,,,NO_CNTRL_21_1_CKV_S,INPREP_INC\KSTB\KSTB_CKV.INC,No,11,0,,0.05,,NO_CNTRL_21_1_CKV_D,35270,1128
BC_CRMWL_03A_B0_CKV,Linear (built-in),Linear (built-in),,61912,61912,,,NO_CRMWL_03A_CKV_S,INPREP_INC\KSTD\KSTD_CKV.INC,No,15,0,,0.05,,NO_CRMWL_03A_CKV_D,36180,5348
BC_CRNDL_08_1_A0_CKV,Linear (built-in),Linear (built-in),,34000,34000,,,NO_CRNDL_08_1_CKV_S,INPREP_INC\KSTA\KSTA_CKV.INC,No,25,0,,0.05,,NO_CRNDL_08_1_CKV_D,14870,1588
BC_CRNDL_43_0_A0_CKV,Linear (built-in),Linear (built-in),,34000,34000,,,NO_CRNDL_43_0_CKV_S,INPREP_INC\KSTA\KSTA_CKV.INC,No,27,0,,0.05,,NO_CRNDL_43_0_CKV_D,15270,1488
