,Fraction Open,Valve Coef (dimensionless)
,n/a,n/a
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0,0
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.1,219
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.2,521
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.3,863
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.4,1233
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.5,1644
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.6,2329
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.7,3220
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.8,4932
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,0.9,8631
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,1,13700
BALL_NPS20_PS_CV_2SPEED,0,131
BALL_NPS20_PS_CV_2SPEED,0.234,132
BALL_NPS20_PS_CV_2SPEED,0.468,330
BALL_NPS20_PS_CV_2SPEED,0.526,429
BALL_NPS20_PS_CV_2SPEED,0.579,726
BALL_NPS20_PS_CV_2SPEED,0.649,1320
BALL_NPS20_PS_CV_2SPEED,0.719,2180
BALL_NPS20_PS_CV_2SPEED,0.79,3300
BALL_NPS20_PS_CV_2SPEED,0.86,4880
BALL_NPS20_PS_CV_2SPEED,0.93,7520
BALL_NPS20_PS_CV_2SPEED,1,13200
BALL_NPS20_PS_CV_NO_MEC_STOPS,0,0
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.111,132
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.222,330
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.333,726
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.444,1320
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.556,2180
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.667,3300
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.778,4880
BALL_NPS20_PS_CV_NO_MEC_STOPS,0.889,7520
