,Closing Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS24_CLOSE,0,102093
BALL_NPS24_CLOSE,5.6,40500
BALL_NPS24_CLOSE,11.1,31468
BALL_NPS24_CLOSE,16.7,23475
BALL_NPS24_CLOSE,22.2,17461
BALL_NPS24_CLOSE,27.8,13089
BALL_NPS24_CLOSE,33.3,9885
BALL_NPS24_CLOSE,38.9,7494
BALL_NPS24_CLOSE,44.4,5673
BALL_NPS24_CLOSE,50,4266
BALL_NPS24_CLOSE,55.6,3164
BALL_NPS24_CLOSE,61.1,2298
BALL_NPS24_CLOSE,66.7,1615
BALL_NPS24_CLOSE,72.2,1082
BALL_NPS24_CLOSE,77.8,673
BALL_NPS24_CLOSE,83.3,370
BALL_NPS24_CLOSE,88.9,162
BALL_NPS24_CLOSE,94.4,40
BALL_NPS24_CLOSE,100,0
BALL_NPS24_CLOSE_US_FLANGE_2MIN,0,98600
BALL_NPS24_CLOSE_US_FLANGE_2MIN,0.333333,20000
BALL_NPS24_CLOSE_US_FLANGE_2MIN,0.444444,14200
BALL_NPS24_CLOSE_US_FLANGE_2MIN,0.555556,10800
BALL_NPS24_CLOSE_US_FLANGE_2MIN,0.666667,8000
BALL_NPS24_CLOSE_US_FLANGE_2MIN,0.777778,6000
BALL_NPS24_CLOSE_US_FLANGE_2MIN,0.888889,4750
BALL_NPS24_CLOSE_US_FLANGE_2MIN,1,3500
BALL_NPS24_CLOSE_US_FLANGE_2MIN,1.11111,2750
BALL_NPS24_CLOSE_US_FLANGE_2MIN,1.22222,2000
BALL_NPS24_CLOSE_US_FLANGE_2MIN,1.33333,1500
BALL_NPS24_CLOSE_US_FLANGE_2MIN,1.44444,1000
BALL_NPS24_CLOSE_US_FLANGE_2MIN,1.55556,650
BALL_NPS24_CLOSE_US_FLANGE_2MIN,1.66667,325
BALL_NPS24_CLOSE_US_FLANGE_2MIN,2,0
BALL_NPS24_PS_CAN_12MIN_CLOSE,0,110500
BALL_NPS24_PS_CAN_12MIN_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_12MIN_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_12MIN_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_12MIN_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_12MIN_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_12MIN_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_12MIN_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_12MIN_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_12MIN_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_12MIN_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_12MIN_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_12MIN_CLOSE,1.62,650
BALL_NPS24_PS_CAN_12MIN_CLOSE,1.778,520
BALL_NPS24_PS_CAN_12MIN_CLOSE,9.677,325
BALL_NPS24_PS_CAN_12MIN_CLOSE,12,0
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,3.389,325
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,12,0
BALL_NPS24_PS_CAN_15MIN_CLOSE,0,110500
BALL_NPS24_PS_CAN_15MIN_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_15MIN_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_15MIN_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_15MIN_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_15MIN_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_15MIN_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_15MIN_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_15MIN_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_15MIN_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_15MIN_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_15MIN_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_15MIN_CLOSE,1.62,650
BALL_NPS24_PS_CAN_15MIN_CLOSE,1.778,520
BALL_NPS24_PS_CAN_15MIN_CLOSE,11.995,325
BALL_NPS24_PS_CAN_15MIN_CLOSE,15,0
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,3.889,325
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,15,0
BALL_NPS24_PS_CAN_6MIN_CLOSE,0,110500
BALL_NPS24_PS_CAN_6MIN_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_6MIN_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_6MIN_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_6MIN_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_6MIN_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_6MIN_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_6MIN_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_6MIN_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_6MIN_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_6MIN_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_6MIN_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_6MIN_CLOSE,1.62,650
BALL_NPS24_PS_CAN_6MIN_CLOSE,1.778,520
BALL_NPS24_PS_CAN_6MIN_CLOSE,5.04,325
BALL_NPS24_PS_CAN_6MIN_CLOSE,6,0
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,2.389,325
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,6,0
BALL_NPS24_PS_CAN_9MIN_CLOSE,0,110500
BALL_NPS24_PS_CAN_9MIN_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_9MIN_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_9MIN_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_9MIN_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_9MIN_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_9MIN_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_9MIN_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_9MIN_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_9MIN_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_9MIN_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_9MIN_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_9MIN_CLOSE,1.62,650
BALL_NPS24_PS_CAN_9MIN_CLOSE,1.778,520
BALL_NPS24_PS_CAN_9MIN_CLOSE,7.359,325
BALL_NPS24_PS_CAN_9MIN_CLOSE,9,0
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,2.889,325
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,9,0
BALL_NPS24_PS_US_12MIN_CLOSE,0,110500
BALL_NPS24_PS_US_12MIN_CLOSE,0.347,20000
BALL_NPS24_PS_US_12MIN_CLOSE,0.463,14200
BALL_NPS24_PS_US_12MIN_CLOSE,0.579,10800
BALL_NPS24_PS_US_12MIN_CLOSE,0.694,8000
BALL_NPS24_PS_US_12MIN_CLOSE,0.81,6000
BALL_NPS24_PS_US_12MIN_CLOSE,0.926,4750
BALL_NPS24_PS_US_12MIN_CLOSE,1.042,3500
BALL_NPS24_PS_US_12MIN_CLOSE,1.157,2750
BALL_NPS24_PS_US_12MIN_CLOSE,1.273,2000
BALL_NPS24_PS_US_12MIN_CLOSE,1.389,1500
BALL_NPS24_PS_US_12MIN_CLOSE,1.505,1000
BALL_NPS24_PS_US_12MIN_CLOSE,1.62,650
BALL_NPS24_PS_US_12MIN_CLOSE,1.667,520
BALL_NPS24_PS_US_12MIN_CLOSE,3.389,325
BALL_NPS24_PS_US_12MIN_CLOSE,12,0
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,3.389,325
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,12,0
BALL_NPS24_PS_US_15MIN_CLOSE,0,110500
BALL_NPS24_PS_US_15MIN_CLOSE,0.347,20000
BALL_NPS24_PS_US_15MIN_CLOSE,0.463,14200
BALL_NPS24_PS_US_15MIN_CLOSE,0.579,10800
BALL_NPS24_PS_US_15MIN_CLOSE,0.694,8000
BALL_NPS24_PS_US_15MIN_CLOSE,0.81,6000
BALL_NPS24_PS_US_15MIN_CLOSE,0.926,4750
BALL_NPS24_PS_US_15MIN_CLOSE,1.042,3500
BALL_NPS24_PS_US_15MIN_CLOSE,1.157,2750
BALL_NPS24_PS_US_15MIN_CLOSE,1.273,2000
BALL_NPS24_PS_US_15MIN_CLOSE,1.389,1500
BALL_NPS24_PS_US_15MIN_CLOSE,1.505,1000
BALL_NPS24_PS_US_15MIN_CLOSE,1.62,650
BALL_NPS24_PS_US_15MIN_CLOSE,1.667,520
BALL_NPS24_PS_US_15MIN_CLOSE,3.889,325
BALL_NPS24_PS_US_15MIN_CLOSE,15,0
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,3.889,325
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,15,0
BALL_NPS24_PS_US_6MIN_CLOSE,0,110500
BALL_NPS24_PS_US_6MIN_CLOSE,0.347,20000
BALL_NPS24_PS_US_6MIN_CLOSE,0.463,14200
BALL_NPS24_PS_US_6MIN_CLOSE,0.579,10800
BALL_NPS24_PS_US_6MIN_CLOSE,0.694,8000
BALL_NPS24_PS_US_6MIN_CLOSE,0.81,6000
BALL_NPS24_PS_US_6MIN_CLOSE,0.926,4750
BALL_NPS24_PS_US_6MIN_CLOSE,1.042,3500
BALL_NPS24_PS_US_6MIN_CLOSE,1.157,2750
BALL_NPS24_PS_US_6MIN_CLOSE,1.273,2000
BALL_NPS24_PS_US_6MIN_CLOSE,1.389,1500
BALL_NPS24_PS_US_6MIN_CLOSE,1.505,1000
BALL_NPS24_PS_US_6MIN_CLOSE,1.62,650
BALL_NPS24_PS_US_6MIN_CLOSE,1.667,520
BALL_NPS24_PS_US_6MIN_CLOSE,2.389,325
BALL_NPS24_PS_US_6MIN_CLOSE,6,0
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,2.389,325
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,6,0
BALL_NPS24_PS_US_9MIN_CLOSE,0,110500
BALL_NPS24_PS_US_9MIN_CLOSE,0.347,20000
BALL_NPS24_PS_US_9MIN_CLOSE,0.463,14200
BALL_NPS24_PS_US_9MIN_CLOSE,0.579,10800
BALL_NPS24_PS_US_9MIN_CLOSE,0.694,8000
BALL_NPS24_PS_US_9MIN_CLOSE,0.81,6000
BALL_NPS24_PS_US_9MIN_CLOSE,0.926,4750
BALL_NPS24_PS_US_9MIN_CLOSE,1.042,3500
BALL_NPS24_PS_US_9MIN_CLOSE,1.157,2750
BALL_NPS24_PS_US_9MIN_CLOSE,1.273,2000
BALL_NPS24_PS_US_9MIN_CLOSE,1.389,1500
BALL_NPS24_PS_US_9MIN_CLOSE,1.505,1000
BALL_NPS24_PS_US_9MIN_CLOSE,1.62,650
BALL_NPS24_PS_US_9MIN_CLOSE,1.667,520
BALL_NPS24_PS_US_9MIN_CLOSE,2.889,325
BALL_NPS24_PS_US_9MIN_CLOSE,9,0
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,0,98600
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,0.347,20000
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,0.463,14200
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,0.579,10800
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,0.694,8000
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,0.81,6000
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,0.926,4750
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,1.042,3500
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,1.157,2750
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,1.273,2000
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,1.389,1500
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,1.505,1000
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,1.62,650
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,1.667,520
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,2.889,325
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,9,0
BALL_NPS24RB_PS_CAN34_CLOSE,0,51900
BALL_NPS24RB_PS_CAN34_CLOSE,0.231,19000
BALL_NPS24RB_PS_CAN34_CLOSE,0.347,14000
BALL_NPS24RB_PS_CAN34_CLOSE,0.463,10000
BALL_NPS24RB_PS_CAN34_CLOSE,0.579,7600
BALL_NPS24RB_PS_CAN34_CLOSE,0.694,6000
BALL_NPS24RB_PS_CAN34_CLOSE,0.81,4500
BALL_NPS24RB_PS_CAN34_CLOSE,0.926,3500
BALL_NPS24RB_PS_CAN34_CLOSE,1.042,2800
BALL_NPS24RB_PS_CAN34_CLOSE,1.157,2200
BALL_NPS24RB_PS_CAN34_CLOSE,1.273,1700
BALL_NPS24RB_PS_CAN34_CLOSE,1.389,1200
BALL_NPS24RB_PS_CAN34_CLOSE,1.505,800
BALL_NPS24RB_PS_CAN34_CLOSE,1.62,500
BALL_NPS24RB_PS_CAN34_CLOSE,1.667,408
BALL_NPS24RB_PS_CAN34_CLOSE,2.889,270
BALL_NPS24RB_PS_CAN34_CLOSE,9,0
BALL_NPS24RB_PS_CAN_CLOSE,0,51900
BALL_NPS24RB_PS_CAN_CLOSE,0.231,19000
BALL_NPS24RB_PS_CAN_CLOSE,0.347,14000
BALL_NPS24RB_PS_CAN_CLOSE,0.463,10000
BALL_NPS24RB_PS_CAN_CLOSE,0.579,7600
BALL_NPS24RB_PS_CAN_CLOSE,0.694,6000
BALL_NPS24RB_PS_CAN_CLOSE,0.81,4500
BALL_NPS24RB_PS_CAN_CLOSE,0.926,3500
BALL_NPS24RB_PS_CAN_CLOSE,1.042,2800
BALL_NPS24RB_PS_CAN_CLOSE,1.157,2200
BALL_NPS24RB_PS_CAN_CLOSE,1.273,1700
BALL_NPS24RB_PS_CAN_CLOSE,1.389,1200
BALL_NPS24RB_PS_CAN_CLOSE,1.505,800
BALL_NPS24RB_PS_CAN_CLOSE,1.62,500
BALL_NPS24RB_PS_CAN_CLOSE,1.667,408
BALL_NPS24RB_PS_CAN_CLOSE,2.389,270
BALL_NPS24RB_PS_CAN_CLOSE,6,0
BALL_NPS24RB_PS_US_CLOSE,0,51900
BALL_NPS24RB_PS_US_CLOSE,0.231,19000
BALL_NPS24RB_PS_US_CLOSE,0.347,14000
BALL_NPS24RB_PS_US_CLOSE,0.463,10000
BALL_NPS24RB_PS_US_CLOSE,0.579,7600
BALL_NPS24RB_PS_US_CLOSE,0.694,6000
BALL_NPS24RB_PS_US_CLOSE,0.81,4500
BALL_NPS24RB_PS_US_CLOSE,0.926,3500
BALL_NPS24RB_PS_US_CLOSE,1.042,2800
BALL_NPS24RB_PS_US_CLOSE,1.157,2200
BALL_NPS24RB_PS_US_CLOSE,1.273,1700
BALL_NPS24RB_PS_US_CLOSE,1.389,1200
BALL_NPS24RB_PS_US_CLOSE,1.505,800
BALL_NPS24RB_PS_US_CLOSE,1.62,500
BALL_NPS24RB_PS_US_CLOSE,1.667,408
BALL_NPS24RB_PS_US_CLOSE,2.389,270
BALL_NPS24RB_PS_US_CLOSE,6,0
BALL_NPS30_7_9_DEFAULT,0,184400
BALL_NPS30_7_9_DEFAULT,0.0366667,165869
BALL_NPS30_7_9_DEFAULT,0.075,148962
BALL_NPS30_7_9_DEFAULT,0.111667,133599
BALL_NPS30_7_9_DEFAULT,0.145,121359
BALL_NPS30_7_9_DEFAULT,0.176667,110187
BALL_NPS30_7_9_DEFAULT,0.21,100028
