,Flow,Head
,AM3/HR,M
BELPL_BELLE_PLAINE_PUMP_HEAD,0,244
BELPL_BELLE_PLAINE_PUMP_HEAD,2218,243.4
BELPL_BELLE_PLAINE_PUMP_HEAD,3287.3,225.3
BELPL_BELLE_PLAINE_PUMP_HEAD,4223.9,203.2
BELPL_BELLE_PLAINE_PUMP_HEAD,4393,197.4
BELPL_BELLE_PLAINE_PUMP_HEAD,4901.8,179.4
BELPL_BELLE_PLAINE_PUMP_HEAD,8215.9,0
BNDLO_BINDLOSS_PUMP_HEAD,0,259.7
BNDLO_BINDLOSS_PUMP_HEAD,948.3,267.4
BNDLO_BINDLOSS_PUMP_HEAD,1550.5,269.7
BNDLO_BINDLOSS_PUMP_HEAD,2729.8,270
BNDLO_BINDLOSS_PUMP_HEAD,3906.8,255.1
BNDLO_BINDLOSS_PUMP_HEAD,4379.2,244.1
BNDLO_BINDLOSS_PUMP_HEAD,4880.7,229.4
BNDLO_BINDLOSS_PUMP_HEAD,8215.2,0
CABRP_CABRI_PUMP_HEAD,0,247.2
CABRP_CABRI_PUMP_HEAD,2244,246
CABRP_CABRI_PUMP_HEAD,3320.1,223.1
CABRP_CABRI_PUMP_HEAD,4212.1,202.6
CABRP_CABRI_PUMP_HEAD,4395.4,196.7
CABRP_CABRI_PUMP_HEAD,4889.4,177.1
CABRP_CABRI_PUMP_HEAD,8473.2,0
CARMA_CARMAN_PUMP_HEAD,0,280.9
CARMA_CARMAN_PUMP_HEAD,932.6,294.4
CARMA_CARMAN_PUMP_HEAD,1597.8,298.2
CARMA_CARMAN_PUMP_HEAD,3204.8,293.6
CARMA_CARMAN_PUMP_HEAD,3905.3,279.9
CARMA_CARMAN_PUMP_HEAD,4384.9,268.1
CARMA_CARMAN_PUMP_HEAD,4986.6,250
CARMA_CARMAN_PUMP_HEAD,8788.4,0
CAROP_CARON_PUMP_HEAD,0,222.7
CAROP_CARON_PUMP_HEAD,891.2,231.6
CAROP_CARON_PUMP_HEAD,1545.9,233.6
CAROP_CARON_PUMP_HEAD,2714.4,228.6
CAROP_CARON_PUMP_HEAD,3923.9,205.6
CAROP_CARON_PUMP_HEAD,4375.6,193.1
CAROP_CARON_PUMP_HEAD,4559.6,186.8
CAROP_CARON_PUMP_HEAD,7677.8,0
CHPLN_CHAPLIN_PUMP_HEAD,0,246
CHPLN_CHAPLIN_PUMP_HEAD,2208.8,244.9
CHPLN_CHAPLIN_PUMP_HEAD,3370.5,222.3
CHPLN_CHAPLIN_PUMP_HEAD,4292.3,201.6
CHPLN_CHAPLIN_PUMP_HEAD,4397.8,195.9
CHPLN_CHAPLIN_PUMP_HEAD,4913.3,180
CHPLN_CHAPLIN_PUMP_HEAD,9663.9,0
CNTRL_CENTRALIA_PUMP_HEAD,0,174.2
CNTRL_CENTRALIA_PUMP_HEAD,916.4,253.1
CNTRL_CENTRALIA_PUMP_HEAD,1552.4,256.2
