,Opening Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS24_OPEN,0,0
BALL_NPS24_OPEN,5.6,40
BALL_NPS24_OPEN,11.1,162
BALL_NPS24_OPEN,16.7,370
BALL_NPS24_OPEN,22.2,673
BALL_NPS24_OPEN,27.8,1082
BALL_NPS24_OPEN,33.3,1615
BALL_NPS24_OPEN,38.9,2298
BALL_NPS24_OPEN,44.4,3164
BALL_NPS24_OPEN,50,4266
BALL_NPS24_OPEN,55.6,5673
BALL_NPS24_OPEN,61.1,7494
BALL_NPS24_OPEN,66.7,9885
BALL_NPS24_OPEN,72.2,13089
BALL_NPS24_OPEN,77.8,17461
BALL_NPS24_OPEN,83.3,23475
BALL_NPS24_OPEN,88.9,31468
BALL_NPS24_OPEN,94.4,40500
BALL_NPS24_OPEN,100,102093
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,8.611,325
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,10.333,520
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,10.38,650
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,10.495,1000
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,10.611,1500
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,10.727,2000
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,10.843,2750
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,10.958,3500
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,11.074,4750
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,11.19,6000
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,11.306,8000
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,11.421,10800
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,11.537,14200
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,11.653,20000
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,12,98600
BALL_NPS24_PS_CAN_12MIN_OPEN,0,0
BALL_NPS24_PS_CAN_12MIN_OPEN,2.323,325
BALL_NPS24_PS_CAN_12MIN_OPEN,10.222,520
BALL_NPS24_PS_CAN_12MIN_OPEN,10.38,650
BALL_NPS24_PS_CAN_12MIN_OPEN,10.495,1000
BALL_NPS24_PS_CAN_12MIN_OPEN,10.611,1500
BALL_NPS24_PS_CAN_12MIN_OPEN,10.727,2000
BALL_NPS24_PS_CAN_12MIN_OPEN,10.843,2750
BALL_NPS24_PS_CAN_12MIN_OPEN,10.958,3500
BALL_NPS24_PS_CAN_12MIN_OPEN,11.074,4750
BALL_NPS24_PS_CAN_12MIN_OPEN,11.19,6000
BALL_NPS24_PS_CAN_12MIN_OPEN,11.306,8000
BALL_NPS24_PS_CAN_12MIN_OPEN,11.421,10800
BALL_NPS24_PS_CAN_12MIN_OPEN,11.537,14200
BALL_NPS24_PS_CAN_12MIN_OPEN,11.653,20000
BALL_NPS24_PS_CAN_12MIN_OPEN,12,110500
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,11.111,325
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,13.333,520
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,13.38,650
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,13.495,1000
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,13.611,1500
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,13.727,2000
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,13.843,2750
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,13.958,3500
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,14.074,4750
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,14.19,6000
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,14.306,8000
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,14.421,10800
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,14.537,14200
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,14.653,20000
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,15,98600
BALL_NPS24_PS_CAN_15MIN_OPEN,0,0
BALL_NPS24_PS_CAN_15MIN_OPEN,3.005,325
BALL_NPS24_PS_CAN_15MIN_OPEN,13.222,520
BALL_NPS24_PS_CAN_15MIN_OPEN,13.38,650
BALL_NPS24_PS_CAN_15MIN_OPEN,13.495,1000
BALL_NPS24_PS_CAN_15MIN_OPEN,13.611,1500
BALL_NPS24_PS_CAN_15MIN_OPEN,13.727,2000
BALL_NPS24_PS_CAN_15MIN_OPEN,13.843,2750
BALL_NPS24_PS_CAN_15MIN_OPEN,13.958,3500
BALL_NPS24_PS_CAN_15MIN_OPEN,14.074,4750
BALL_NPS24_PS_CAN_15MIN_OPEN,14.19,6000
BALL_NPS24_PS_CAN_15MIN_OPEN,14.306,8000
BALL_NPS24_PS_CAN_15MIN_OPEN,14.421,10800
BALL_NPS24_PS_CAN_15MIN_OPEN,14.537,14200
BALL_NPS24_PS_CAN_15MIN_OPEN,14.653,20000
BALL_NPS24_PS_CAN_15MIN_OPEN,15,110500
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,3.611,325
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,4.333,520
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,4.38,650
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,4.495,1000
