,Flow,Power
,AM3/HR,KW
BELPL_BELLE_PLAINE_PUMP_POWER,0,1162.5
BELPL_BELLE_PLAINE_PUMP_POWER,2218,1974
BELPL_BELLE_PLAINE_PUMP_POWER,3287.3,2335.9
BELPL_BELLE_PLAINE_PUMP_POWER,4223.9,2635.4
BELPL_BELLE_PLAINE_PUMP_POWER,4393,2681.5
BELPL_BELLE_PLAINE_PUMP_POWER,4901.8,2787.3
BNDLO_BINDLOSS_PUMP_POWER,0,934
BNDLO_BINDLOSS_PUMP_POWER,948.3,1526.5
BNDLO_BINDLOSS_PUMP_POWER,1550.5,1837.4
BNDLO_BINDLOSS_PUMP_POWER,2729.8,2510.2
BNDLO_BINDLOSS_PUMP_POWER,3906.8,3099.8
BNDLO_BINDLOSS_PUMP_POWER,4379.2,3326.3
BNDLO_BINDLOSS_PUMP_POWER,4880.7,3535.1
CABRP_CABRI_PUMP_POWER,0,1106.8
CABRP_CABRI_PUMP_POWER,2244,1952.5
CABRP_CABRI_PUMP_POWER,3320.1,2324.5
CABRP_CABRI_PUMP_POWER,4212.1,2612.6
CABRP_CABRI_PUMP_POWER,4395.4,2655.6
CABRP_CABRI_PUMP_POWER,4889.4,2769.7
CARMA_CARMAN_PUMP_POWER,0,1042.2
CARMA_CARMAN_PUMP_POWER,932.6,1677
CARMA_CARMAN_PUMP_POWER,1597.8,2029.7
CARMA_CARMAN_PUMP_POWER,3204.8,3044.5
CARMA_CARMAN_PUMP_POWER,3905.3,3428
CARMA_CARMAN_PUMP_POWER,4384.9,3682.4
CARMA_CARMAN_PUMP_POWER,4986.6,3989.2
CAROP_CARON_PUMP_POWER,0,790.9
CAROP_CARON_PUMP_POWER,891.2,1248.5
CAROP_CARON_PUMP_POWER,1545.9,1504.8
CAROP_CARON_PUMP_POWER,2714.4,2046.9
CAROP_CARON_PUMP_POWER,3923.9,2519.2
CAROP_CARON_PUMP_POWER,4375.6,2662.2
CAROP_CARON_PUMP_POWER,4559.6,2716.2
CHPLN_CHAPLIN_PUMP_POWER,0,1154.2
CHPLN_CHAPLIN_PUMP_POWER,2208.8,1972.5
CHPLN_CHAPLIN_PUMP_POWER,3370.5,2374.4
CHPLN_CHAPLIN_PUMP_POWER,4292.3,2660.1
CHPLN_CHAPLIN_PUMP_POWER,4397.8,2662.3
CHPLN_CHAPLIN_PUMP_POWER,4913.3,2811.5
CNTRL_CENTRALIA_PUMP_POWER,0,812.4
CNTRL_CENTRALIA_PUMP_POWER,916.4,1366.9
CNTRL_CENTRALIA_PUMP_POWER,1552.4,1657.5
CNTRL_CENTRALIA_PUMP_POWER,2787.5,2310.9
CNTRL_CENTRALIA_PUMP_POWER,3921.4,2808
CNTRL_CENTRALIA_PUMP_POWER,4365,2968.3
CNTRL_CENTRALIA_PUMP_POWER,4759.1,3104
CRNDL_CRANDELL_PUMP_POWER,0,812
CRNDL_CRANDELL_PUMP_POWER,833.4,1252.8
CRNDL_CRANDELL_PUMP_POWER,1583.6,1547.8
CRNDL_CRANDELL_PUMP_POWER,2750.8,2096.8
CRNDL_CRANDELL_PUMP_POWER,3902.5,2562.4
CRNDL_CRANDELL_PUMP_POWER,4366.2,2729.3
CRNDL_CRANDELL_PUMP_POWER,4998.9,2914.6
CRPTR_CARPENTER_PUMP_POWER,0,1002.1
CRPTR_CARPENTER_PUMP_POWER,930.1,1678.8
CRPTR_CARPENTER_PUMP_POWER,1575,2014.1
CRPTR_CARPENTER_PUMP_POWER,3232,3090
CRPTR_CARPENTER_PUMP_POWER,3938.1,3511.1
CRPTR_CARPENTER_PUMP_POWER,4385.8,3743.9
CRPTR_CARPENTER_PUMP_POWER,4952.2,4005.5
DVDCT_DAVID_CITY_PUMP_POWER,0,1003.7
DVDCT_DAVID_CITY_PUMP_POWER,918.5,1677.6
DVDCT_DAVID_CITY_PUMP_POWER,1568.2,2042
DVDCT_DAVID_CITY_PUMP_POWER,3222.4,3128.7
DVDCT_DAVID_CITY_PUMP_POWER,3919.7,3505.7
DVDCT_DAVID_CITY_PUMP_POWER,4380.4,3752.4
DVDCT_DAVID_CITY_PUMP_POWER,5041.4,4083.8
EDNBG_EDINBURG_PUMP_POWER,0,851.4
EDNBG_EDINBURG_PUMP_POWER,933.5,1397.4
EDNBG_EDINBURG_PUMP_POWER,1559.5,1697.9
EDNBG_EDINBURG_PUMP_POWER,2911.8,2387.8
EDNBG_EDINBURG_PUMP_POWER,3927.1,2839.4
EDNBG_EDINBURG_PUMP_POWER,4387,3020
EDNBG_EDINBURG_PUMP_POWER,4941.1,3223.6
FERNY_FERNEY_PUMP_POWER,0,1167.3
FERNY_FERNEY_PUMP_POWER,1457.7,2058.1
FERNY_FERNEY_PUMP_POWER,2158.8,2521.4
FERNY_FERNEY_PUMP_POWER,3299.8,3197.7
