,FROM FILE,LINE,NOTE,TAGS,TYPE
,n/a,n/a,n/a,n/a,n/a
BALL_NPS20_METSO_Q_TRIM_NO_MEC_STOPS,INPREP_INC\Common\DATACURVES.INC,3,,,C(X)
BALL_NPS20_PS_CV_2SPEED,INPREP_INC\Common\DATACURVES.INC,17,,,C(X)
BALL_NPS20_PS_CV_NO_MEC_STOPS,INPREP_INC\Common\DATACURVES.INC,31,,,C(X)
BALL_NPS20_PS_CV_NO_MEC_STOPS_10PERCENT_M,INPREP_INC\Common\DATACURVES.INC,44,,,C(X)
BALL_NPS20_PS_CV_NO_MEC_STOPS_10PERCENT_P,INPREP_INC\Common\DATACURVES.INC,57,,,C(X)
BALL_NPS20_PS_CV_TIGHT_SHUTOFF,INPREP_INC\Common\DATACURVES.INC,71,/* ----------- Control Valves ------------,,C(X)
BALL_NPS20_PS_CV_WITH_MEC_STOPS_23DEG,INPREP_INC\Common\DATACURVES.INC,84,,,C(X)
BALL_NPS20_PS_CV_WITH_MEC_STOPS_23DEG_10PERCENT_M,INPREP_INC\Common\DATACURVES.INC,98,,,C(X)
BALL_NPS20_PS_CV_WITH_MEC_STOPS_23DEG_10PERCENT_P,INPREP_INC\Common\DATACURVES.INC,112,,,C(X)
BALL_NPS20_PS_CV_WITH_MEC_STOPS_27DEG,INPREP_INC\Common\DATACURVES.INC,126,,,C(X)
BALL_NPS20_PS_CV_WITH_MEC_STOPS_27DEG_10PERCENT_M,INPREP_INC\Common\DATACURVES.INC,140,,,C(X)
BALL_NPS20_PS_CV_WITH_MEC_STOPS_27DEG_10PERCENT_P,INPREP_INC\Common\DATACURVES.INC,153,,,C(X)
BALL_NPS20_V260B_NO_MEC_STOPS,INPREP_INC\Common\DATACURVES.INC,166,,,C(X)
BALL_NPS24_CLOSE,INPREP_INC\Common\DATACURVES.INC,179,,,CLSE
BALL_NPS24_CLOSE_US_FLANGE_2MIN,INPREP_INC\Common\DATACURVES.INC,201,,,CLSE
BALL_NPS24_METSO_Q_TRIM_NO_MEC_STOPS,INPREP_INC\Common\DATACURVES.INC,219,,,C(X)
BALL_NPS24_OPEN,INPREP_INC\Common\DATACURVES.INC,234,/*--------------------------------Ball Valve CV vs Stem Position Curves-----------------------------------------,,OPEN
BALL_NPS24_PS_CAN_12MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,256,,,CLSE
BALL_NPS24_PS_CAN_12MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,275,,,CLSE
BALL_NPS24_PS_CAN_12MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,294,,,OPEN
BALL_NPS24_PS_CAN_12MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,313,,,OPEN
BALL_NPS24_PS_CAN_15MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,332,,,CLSE
BALL_NPS24_PS_CAN_15MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,351,,,CLSE
BALL_NPS24_PS_CAN_15MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,370,,,OPEN
BALL_NPS24_PS_CAN_15MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,389,,,OPEN
BALL_NPS24_PS_CAN_6MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,408,,,CLSE
BALL_NPS24_PS_CAN_6MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,427,,,CLSE
BALL_NPS24_PS_CAN_6MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,447,"/* ----------- 20/80 24"" Flanged Valves at Traps (PS) ------------",,OPEN
BALL_NPS24_PS_CAN_6MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,467,"/* ----------- 20/80 24"" Valves at Traps (PS) ------------",,OPEN
BALL_NPS24_PS_CAN_9MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,486,,,CLSE
BALL_NPS24_PS_CAN_9MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,505,,,CLSE
BALL_NPS24_PS_CAN_9MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,524,,,OPEN
BALL_NPS24_PS_CAN_9MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,543,,,OPEN
BALL_NPS24_PS_CV260_WITH_MEC_STOPS_19DEG_10PERCENT,INPREP_INC\Common\DATACURVES.INC,562,,,C(X)
BALL_NPS24_PS_US_12MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,576,,,CLSE
BALL_NPS24_PS_US_12MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,595,,,CLSE
BALL_NPS24_PS_US_12MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,614,,,OPEN
BALL_NPS24_PS_US_12MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,633,,,OPEN
BALL_NPS24_PS_US_15MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,652,,,CLSE
BALL_NPS24_PS_US_15MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,671,,,CLSE
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,690,,,OPEN
BALL_NPS24_PS_US_15MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,709,,,OPEN
BALL_NPS24_PS_US_6MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,728,,,CLSE
BALL_NPS24_PS_US_6MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,747,,,CLSE
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,767,"/* ----------- 20/80 24"" Flanged Valves at Traps (PS) ------------",,OPEN
BALL_NPS24_PS_US_6MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,787,"/* ----------- 20/80 24"" Valves at Traps (PS) ------------",,OPEN
BALL_NPS24_PS_US_9MIN_CLOSE,INPREP_INC\Common\DATACURVES.INC,806,,,CLSE
BALL_NPS24_PS_US_9MIN_FLANGED_CLOSE,INPREP_INC\Common\DATACURVES.INC,825,,,CLSE
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,INPREP_INC\Common\DATACURVES.INC,844,,,OPEN
BALL_NPS24_PS_US_9MIN_OPEN,INPREP_INC\Common\DATACURVES.INC,863,,,OPEN
BALL_NPS24RB_PS_CAN34_CLOSE,INPREP_INC\Common\DATACURVES.INC,882,,,CLSE
BALL_NPS24RB_PS_CAN34_OPEN,INPREP_INC\Common\DATACURVES.INC,902,,,OPEN
