,FROM FILE,LINE,NOTE,PATH EXPRESSION,TAGS
,n/a,n/a,n/a,n/a,n/a
DP_CSHTT_CSDEL,INPREP_INC\Common\DEFINES.INC,25,,"PATH(NO_CSHNG_DEL, SALE_CSHNG_DEL)",
DP_CSHTT_CSHSP,INPREP_INC\Common\DEFINES.INC,24,,"PATH(NO_CSHTT_REC, NO_CSHSP_S)",
DP_CSHTT_LIBRT,INPREP_INC\Common\DEFINES.INC,26,,"PATH(NO_CSHSP_N2, NO_LIBRT_D)",
DP_CTGOI_CTGOD,INPREP_INC\Common\DEFINES.INC,30,,"PATH(NO_CTGOI_D, NO_CITGO_DEL)",
DP_HRDSY_HSTNT,,263,,"PATH(TAKE_HRDSY_REC, SALE_HSTNT_DEL)",
DP_HRDSY_PTOKA,,264,,"PATH(TAKE_HRDSY_REC, SALE_PTOKA_DEL)",
DP_HRDSY_STLCT,INPREP_INC\Common\DEFINES.INC,19,,"PATH(NO_HRDSY_S, NO_STLCT_D)",
DP_HRTFD_HRTDD,INPREP_INC\Common\DEFINES.INC,21,,"PATH(NO_HRTDD_MOV0211_D, NO_HRTDD_DEL)",
DP_HRTFD_PTOKA,INPREP_INC\Common\DEFINES.INC,22,,"PATH(NO_HRTDD_MOV0212_D, NO_PTOKA_DEL)",
DP_HSTNL_HSTNT,INPREP_INC\Common\DEFINES.INC,27,,"PATH(NO_HSTNL_N1, NO_HSTNT_DEL)",
DP_LIB1A_LUCAS,INPREP_INC\Common\DEFINES.INC,29,,"PATH(NO_LIBRT_01A_D, NO_LUCAS_S)",
DP_LIBRT_LIB1A,INPREP_INC\Common\DEFINES.INC,28,,"PATH(NO_LIBRT_N3, NO_CTGOI_S)",
DP_LUCAS_LUDEL,INPREP_INC\Common\DEFINES.INC,31,,"PATH(NO_LUCAS_N1, NO_LUCAS_DEL)",
DP_LUCAS_NDRLD,INPREP_INC\Common\DEFINES.INC,32,,"PATH(NO_LUCAS_CKV_S, NO_NDRLD_D)",
DP_NDLPS_PNLPN,INPREP_INC\Common\DEFINES.INC,34,,"PATH(NO_NDLPS_S, NO_PNLPN_N1)",
DP_NDRLD_NDDEL,INPREP_INC\Common\DEFINES.INC,33,,"PATH(NO_NDRLD_N1, NO_NDRLD_DEL)",
DP_PNLPN_PTNCI,INPREP_INC\Common\DEFINES.INC,36,,"PATH(NO_PNLPN_D, NO_PTNCI_DEL)",
DP_PNREC_PNLPN,INPREP_INC\Common\DEFINES.INC,35,,"PATH(NO_PNLPN_MB1_S, NO_PNLPN_S)",
DP_STLCB_CSHTT,INPREP_INC\Common\DEFINES.INC,23,,"PATH(NO_STLCB_S, NO_CSHSP_N1)",
DP_STLCT_HRTFD,INPREP_INC\Common\DEFINES.INC,20,,"PATH(NO_STLCT_SWING_D, NO_HRTFD_D)",
PATH_HRDSY_TO_STLCT,INPREP_INC\Common\DEFINES.INC,7,,"PATH(NO_HRDSY_S, HF_STLCT)",
PATH_LIBRT_TO_CTGOD,INPREP_INC\Common\DEFINES.INC,16,,"PATH(HF_STLCT, SALE_CITGO_DEL)",
PATH_LIBRT_TO_HSTNT,INPREP_INC\Common\DEFINES.INC,14,,"PATH(HF_STLCT, SALE_HSTNT_DEL)",
PATH_LIBRT_TO_LUCAS,INPREP_INC\Common\DEFINES.INC,15,,"PATH(HF_STLCT, SALE_LUCAS_DEL)",
PATH_LIBRT_TO_NDRLD,INPREP_INC\Common\DEFINES.INC,17,,"PATH(HF_STLCT, SALE_NDRLD_DEL)",
PATH_LIBRT_TO_PTNCI,INPREP_INC\Common\DEFINES.INC,18,,"PATH(HF_STLCT, SALE_PTNCI_DEL)",
PATH_STLCT_TO_LIBRT,INPREP_INC\Common\DEFINES.INC,13,,"PATH(HF_STLCT, HF_LIBRT)",
PATH_STLCT_TO_PTOKA,INPREP_INC\Common\DEFINES.INC,8,,"PATH(HF_STLCT, NO_PTOKA_DEL)",
