,EXP,FROM FILE,INIT,LINE,NOTE,TAGS,UIF
,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CSHTT_MB11_OPENPATH,0,INPREP_INC\Common\DEFINES.INC,,10,,,
CSHTT_MB12_OPENPATH,0,INPREP_INC\Common\DEFINES.INC,,11,,,
CSHTT_TIGHT,0,INPREP_INC\Common\DEFINES.INC,,9,,,
CSHTT_TNK_OPENPATH,0,INPREP_INC\Common\DEFINES.INC,,12,,,
HRDST_MB1_OPENPATH,0,INPREP_INC\Common\DEFINES.INC,,3,,,
HRDST_MB2_OPENPATH,0,INPREP_INC\Common\DEFINES.INC,,4,,,
HRDST_MB3_OPENPATH,0,INPREP_INC\Common\DEFINES.INC,,5,,,
HRDST_TNK_OPENPATH,0,INPREP_INC\Common\DEFINES.INC,,6,,,
SW_TIGHTLINE,0,INPREP_INC\Common\DEFINES.INC,,39,,,
SW_TO_HRTDD,1,INPREP_INC\Common\DEFINES.INC,,38,,,
SW_TO_LIB1A,1,INPREP_INC\Common\DEFINES.INC,,40,,,
SW_TO_LUCAS,0,INPREP_INC\Common\DEFINES.INC,,41,,,
SW_TO_NDLPS,1,INPREP_INC\Common\DEFINES.INC,,43,,,
SW_TO_NDRLD,1,INPREP_INC\Common\DEFINES.INC,,42,,,
SW_TO_PTNCI,0,INPREP_INC\Common\DEFINES.INC,,44,,,
SW_TO_STLCB,0,INPREP_INC\Common\DEFINES.INC,,37,,,
