,A,B,BFC,COLOR,COMP.UNIT,CONST VP,CV0,CVT,D0,DENERR,FROM FILE,K0,KT,MXWT,Ordering,P0,PD,PM0,PMODERR,PPMULT,PTMULT,S0,SPC,STC,T0,T1,T2,TM0,TTMULT,VERR,VP1,VP2
,n/a,n/a,n/a,n/a,n/a,n/a,KJ/KG-DC,KJ/KG-DC2,KG/M3,KG/M3,n/a,KJ/HR-M-DC,KJ/HR-M-DC2,n/a,n/a,KPAA,KPA,KPA,n/a,n/a,n/a,PA,PA/KPA,PA/DC,DC,DC,DC,DC,n/a,n/a,KPAA,KPAA
ACS,6.72,2.58,,LIGHTGREEN,FR,No,1.51344,0.00428,867,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,234,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AHS1,6.72,2.58,,PURPLE,FR,No,1.51344,0.00428,937,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,2,101.325,,2.06e+06,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AHS2,10.7717,4.12052,,PURPLE,FR,No,1.51344,0.00428,938,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,3,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AHS3,10.7633,4.11709,,PURPLE,FR,No,1.51344,0.00428,938,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,4,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AHS5,10.778,4.12311,,PURPLE,FR,No,1.51344,0.00428,938,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,5,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AHS6,10.7699,4.11978,,PURPLE,FR,No,1.51344,0.00428,938,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,6,101.325,,1.46e+06,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AMH1,9.16351,3.46258,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,7,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AMH2,9.15754,3.46014,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,8,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AMH3,9.15136,3.45761,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,9,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AMH5,9.16108,3.46158,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,10,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AMH6,9.15468,3.45897,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,11,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
ARB1,9.11524,3.44283,,PURPLE,FR,No,1.51344,0.00428,931,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,12,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
ARB2,9.10943,3.44045,,PURPLE,FR,No,1.51344,0.00428,931,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,13,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
ARB3,9.10341,3.43799,,PURPLE,FR,No,1.51344,0.00428,931,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,14,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
ARB5,9.11288,3.44186,,PURPLE,FR,No,1.51344,0.00428,931,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,15,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
ARB6,9.10665,3.43932,,PURPLE,FR,No,1.51344,0.00428,931,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,16,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AVB1,9.05472,3.41807,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,17,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AVB2,9.05472,3.41807,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,18,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AVB3,9.05472,3.41807,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,19,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AVB5,9.05472,3.41807,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,20,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AVB6,9.05472,3.41807,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,21,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AWB1,9.31193,3.5233,,BLACK,FR,No,1.51344,0.00428,921,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,22,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AWB2,9.46852,3.58736,,BLACK,FR,No,1.51344,0.00428,922.5,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,23,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AWB3,9.25038,3.49812,,BLACK,FR,No,1.51344,0.00428,930,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,24,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AWB5,9.45743,3.58283,,BLACK,FR,No,1.51344,0.00428,922,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,25,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
AWB6,9.2955,3.51658,,BLACK,FR,No,1.51344,0.00428,929,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,26,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BBB1,10,3,,BLACK,FR,No,1.51344,0.00428,933,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,27,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BBB2,10,3,,BLACK,FR,No,1.51344,0.00428,933,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,28,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BBB3,10,3,,BLACK,FR,No,1.51344,0.00428,933,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,29,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BBB5,10,3,,BLACK,FR,No,1.51344,0.00428,933,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,30,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BBB6,10,3,,BLACK,FR,No,1.51344,0.00428,933,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,31,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BCH1,7.80222,2.90565,,PURPLE,FR,No,1.51344,0.00428,923,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,32,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BCH2,7.80205,2.90558,,PURPLE,FR,No,1.51344,0.00428,923,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,33,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BCH3,7.76745,2.89142,,PURPLE,FR,No,1.51344,0.00428,923,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,34,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BCH5,7.82067,2.9132,,PURPLE,FR,No,1.51344,0.00428,923,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,35,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BCH6,7.7747,2.89439,,PURPLE,FR,No,1.51344,0.00428,923,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,36,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BHB1,6.8846,2.53023,,BLACK,FR,No,1.51344,0.00428,919,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,37,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BHB2,6.88091,2.52873,,BLACK,FR,No,1.51344,0.00428,919,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,38,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BHB3,6.8767,2.527,,BLACK,FR,No,1.51344,0.00428,919,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,39,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BHB5,6.88311,2.52962,,BLACK,FR,No,1.51344,0.00428,919,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,40,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BHB6,6.87913,2.528,,BLACK,FR,No,1.51344,0.00428,919,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,41,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BKN,9.68885,3.67751,,CYAN,FR,No,1.51344,0.00428,810,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,42,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BR1,9.57855,3.63238,,PURPLE,FR,No,1.51344,0.00428,918,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,43,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BR2,9.57081,3.62922,,PURPLE,FR,No,1.51344,0.00428,918,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,44,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BR3,9.56211,3.62565,,PURPLE,FR,No,1.51344,0.00428,918,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,45,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BR5,9.5754,3.63109,,PURPLE,FR,No,1.51344,0.00428,918,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,46,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BR6,9.56711,3.6277,,PURPLE,FR,No,1.51344,0.00428,918,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,47,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BSH1,7.39795,2.74026,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,48,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BSH2,7.39984,2.74103,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,49,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BSH3,7.38175,2.73363,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,50,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BSH5,7.3909,2.73737,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,51,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
BSH6,7.38335,2.73428,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,52,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
