,DRAD,ELEV+,ELEV-,FF,FRICTION,FROM,FROM FILE,LEN,LINE,NOTE,OD,T+,T-,TAGS,TMP,TO,TTYPE,WT,XCOORD,YCOORD
,PERCENT,M,M,n/a,n/a,n/a,n/a,KM,n/a,n/a,MM,DC,DC,n/a,DC,n/a,n/a,MM,n/a,n/a
H_BELPL_D,,,,,MOODY,NO_BELPL_N2,INPREP_INC\KSTA\LDS\BELPL.INC,0.1,11,,762,,,,,NO_BELPL_D,TEMP,10.2,10070,2450
H_BELPL_S,,,,,MOODY,NO_BELPL_S,INPREP_INC\KSTA\LDS\BELPL.INC,0.1,8,,762,,,,,NO_BELPL_N1,NONE,10.2,9670,2450
H_BNDLO_D,,,,,MOODY,NO_BNDLO_N2,INPREP_INC\KSTA\LDS\BNDLO.INC,0.1,10,,762,,,,,NO_BNDLO_D,TEMP,10.2,4470,2450
H_BNDLO_S,,,,,MOODY,NO_BNDLO_S,INPREP_INC\KSTA\LDS\BNDLO.INC,0.1,7,,762,,,,,NO_BNDLO_N1,NONE,10.2,4070,2450
H_BRSTL_D,,,,,MOODY,NO_BRSTL_N2,INPREP_INC\KSTA\LDS\BRSTL.INC,0.1,4,,762,,,,,NO_BRSTL_D,NONE,10.2,4870,1280
H_BRSTL_S,,,,,MOODY,NO_BRSTL_S,INPREP_INC\KSTA\LDS\BRSTL.INC,0.1,11,,762,,,,,NO_BRSTL_N1,NONE,10.2,4870,970
H_BRYAN_D,,,,,MOODY,NO_BRYAN_N2,INPREP_INC\KSTD\LDS\BRYAN.INC,0.1,11,,762,,,,,NO_BRYAN_D,TEMP,10.2,37382,6233
H_BRYAN_S,,,,,MOODY,NO_BRYAN_S,INPREP_INC\KSTD\LDS\BRYAN.INC,0.1,8,,762,,,,,NO_BRYAN_N1,NONE,10.2,36980,6233
H_BURNS,,,,,MOODY,NO_BURNS_N1,INPREP_INC\KSTC\LDS\BURNS.INC,0.1,10,,762,,,,,NO_BURNS_N2,NONE,10.2,32025,4738
H_BURNS_D,,,,,MOODY,NO_BURNS_N2,INPREP_INC\KSTC\LDS\BURNS.INC,0.1,3,,762,,,,,NO_BURNS_D,NONE,10.2,32025,4998
H_BURNS_S,,,,,MOODY,NO_BURNS_S,INPREP_INC\KSTC\LDS\BURNS.INC,0.1,13,,762,,,,,NO_BURNS_N1,NONE,10.2,32025,4418
H_CABRP_D,,,,,MOODY,NO_CABRP_N2,INPREP_INC\KSTA\LDS\CABRP.INC,0.1,11,,762,,,,,NO_CABRP_D,TEMP,10.2,6070,2450
H_CABRP_S,,,,,MOODY,NO_CABRP_S,INPREP_INC\KSTA\LDS\CABRP.INC,0.1,8,,762,,,,,NO_CABRP_N1,NONE,10.2,5670,2450
H_CARMA_D,,,,,MOODY,NO_CARMA_N2,INPREP_INC\KSTA\LDS\CARMA.INC,0.1,11,,762,,,,,NO_CARMA_D,TEMP,10.2,18270,2450
H_CARMA_S,,,,,MOODY,NO_CARMA_S,INPREP_INC\KSTA\LDS\CARMA.INC,0.1,8,,762,,,,,NO_CARMA_N1,NONE,10.2,17670,2450
H_CAROP_D,,,,,MOODY,NO_CAROP_N2,INPREP_INC\KSTA\LDS\CAROP.INC,0.1,11,,762,,,,,NO_CAROP_D,TEMP,10.2,9270,2450
H_CAROP_S,,,,,MOODY,NO_CAROP_S,INPREP_INC\KSTA\LDS\CAROP.INC,0.1,8,,762,,,,,NO_CAROP_N1,NONE,10.2,8870,2450
H_CHPLN_D,,,,,MOODY,NO_CHPLN_N2,INPREP_INC\KSTA\LDS\CHPLN.INC,0.1,11,,762,,,,,NO_CHPLN_D,TEMP,10.2,8470,2450
H_CHPLN_S,,,,,MOODY,NO_CHPLN_S,INPREP_INC\KSTA\LDS\CHPLN.INC,0.1,8,,762,,,,,NO_CHPLN_N1,NONE,10.2,8070,2450
H_CNTRL_D,,,,,MOODY,NO_CNTRL_N2,INPREP_INC\KSTB\LDS\CNTRL.INC,0.1,11,,762,,,,,NO_CNTRL_D,TEMP,10.2,35070,2450
H_CNTRL_S,,,,,MOODY,NO_CNTRL_S,INPREP_INC\KSTB\LDS\CNTRL.INC,0.1,8,,762,,,,,NO_CNTRL_N1,NONE,10.2,34670,2450
H_CORGN_D,,,,,MOODY,NO_CORGN_N2,INPREP_INC\KSTD\LDS\CORGN.INC,0.1,11,,762,,,,,NO_CORGN_D,TEMP,10.2,41378,6233
H_CORGN_S,,,,,MOODY,NO_CORGN_S,INPREP_INC\KSTD\LDS\CORGN.INC,0.1,8,,762,,,,,NO_CORGN_N1,NONE,10.2,40980,6233
H_CRMWL_D,,,,,MOODY,NO_CRMWL_N2,INPREP_INC\KSTD\LDS\CRMWL.INC,0.1,11,,762,,,,,NO_CRMWL_D,TEMP,10.2,35784,6233
H_CRMWL_S,,,,,MOODY,NO_CRMWL_S,INPREP_INC\KSTD\LDS\CRMWL.INC,0.1,8,,762,,,,,NO_CRMWL_N1,NONE,10.2,35380,6233
H_CRNDL_D,,,,,MOODY,NO_CRNDL_N2,INPREP_INC\KSTA\LDS\CRNDL.INC,0.1,11,,762,,,,,NO_CRNDL_D,TEMP,10.2,14870,2450
H_CRNDL_S,,,,,MOODY,NO_CRNDL_S,INPREP_INC\KSTA\LDS\CRNDL.INC,0.1,8,,762,,,,,NO_CRNDL_N1,NONE,10.2,14470,2450
H_CRPTR_D,,,,,MOODY,NO_CRPTR_N2,INPREP_INC\KSTA\LDS\CRPTR.INC,0.1,11,,762,,,,,NO_CRPTR_D,TEMP,10.2,24670,2450
H_CRPTR_S,,,,,MOODY,NO_CRPTR_S,INPREP_INC\KSTA\LDS\CRPTR.INC,0.1,8,,762,,,,,NO_CRPTR_N1,NONE,10.2,24270,2450
H_CSHNG,,,,,MOODY,NO_CSHNG_S,INPREP_INC\KSTC\LDS\CSHNG.INC,0.1,3,,762,,,,,NO_CSHNG_N1,NONE,10.2,33735,6078
H_CSHSP_D,,,,,MOODY,NO_CSHSP_N3,INPREP_INC\KSTD\LDS\CSHSP.INC,0.1,12,,762,,,,,NO_CSHSP_D1,TEMP,10.2,34984,6233
H_CSHSP_S,,,,,MOODY,NO_CSHSP_S,INPREP_INC\KSTD\LDS\CSHSP.INC,0.1,9,,762,,,,,NO_CSHSP_N2,NONE,10.2,34385,6448
H_CSHTT_MB11,,,,,MOODY,NO_CSHTT_MB11_S,INPREP_INC\Externals\EXTERNALS.INC,0.1,641,,762,,,,,NO_CSHTT_REC,NONE,10.2,33507,7055
