,CAN_DEFAULT,DEFAULT,DESCRIPTION,FORMAT,HI,HI-HI,LOW,LOW-LOW,UNIT_KEY,UNITS
,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
A * A1,Yes,324,First rate coefficient,2,1000,1000,0.01,0.01,NONE,
A * A2,Yes,36,Second rate coefficient,2,1e+06,1e+06,0,0,NONE,
A * A3,Yes,1,Third rate coefficient,2,1e+06,1e+06,0,0,NONE,
A * TCLOSE,Yes,1,Actuator closing time,2,10,10,0.01,0.01,TIME,MIN
A * TOPEN,Yes,1,Actuator opening time,2,10,10,0.01,0.01,TIME,MIN
A * V0,Yes,0,Input limit where X(V0) = 0,2,1e+06,1e+06,0,0,NONE,
A * V1,Yes,1,Input limit where X(V1) = 1,2,1e+06,1e+06,0,0,NONE,
A * VR,Yes,4,Rate constant,2,1000,1000,0.01,0.01,NONE,
B * CVC,Yes,0,Valve coef when fully closed,2,29.167,145.835,0,0,VALVE.COEFF,GAL/MIN-PSI.5
B * CVO,No,0,Valve coef when fully open,2,875010,8.7501e+06,875.01,0,VALVE.COEFF,GAL/MIN-PSI.5
B * DP,Yes,0,Pressure drop used to size optional series header,2,34.4737,137.895,0.689473,0,DELTA.PRES,KPA
B * DRA_DEG,Yes,100,Amount of DRA destroyed at high pressure drop,2,100,100,0,0,DEGRADATION,PERCENT
B * FR,Yes,0,Initial valve fraction,2,1,1,0,0,FRACTION,FR
B * Q,Yes,0,Flow used to size optional series header,2,7949.36,13248.9,79.4936,0,FLOW,M3/HR
B * T,Yes,1,Travel time,2,16,20,0,0,TIME,MIN
BC * CVC,Yes,0,Valve coef when fully closed,2,29.167,145.835,0,0,VALVE.COEFF,GAL/MIN-PSI.5
BC * CVO,No,0,Valve coef when fully open,2,875010,8.7501e+06,875.01,0,VALVE.COEFF,GAL/MIN-PSI.5
BC * DP,Yes,0,Pressure drop used to size optional series header,2,34.4737,137.895,0.689473,0,DELTA.PRES,KPA
BC * DRA_DEG,Yes,100,Amount of DRA destroyed at high pressure drop,2,100,100,0,0,DEGRADATION,PERCENT
BC * FR,Yes,0,Initial valve fraction,2,1,1,0,0,FRACTION,FR
BC * Q,Yes,0,Flow used to size optional series header,2,7949.36,13248.9,79.4936,0,FLOW,M3/HR
BC * T,Yes,0,Travel time,2,3,20,0,0,TIME,MIN
BV * CGC,Yes,0,Valve coef when fully closed,2,0.410687,2.05343,0,0,VALVE.CG,M3/HR-KPA
BV * CGO,No,0,Valve coef when fully open,2,12320.6,123206,123.206,0,VALVE.CG,M3/HR-KPA
BV * DP,Yes,0,Pressure drop used to size optional series header,2,34.4737,137.895,0.689473,0,DELTA.PRES,KPA
BV * DRA_DEG,Yes,100,Amount of DRA destroyed at high pressure drop,2,100,100,0,0,DEGRADATION,PERCENT
BV * FR,Yes,0,Initial valve fraction,2,1,1,0,0,FRACTION,FR
BV * Q,Yes,0,Flow used to size optional series header,2,7949.36,13248.9,79.4936,0,FLOW,M3/HR
BV * TT,Yes,1,Travel time,2,3,20,0,0,TIME,MIN
CA * DEFAULT,Yes,0,Default value used when the custom attribute is not set on the device.(String-valued attributes are quoted to distinguish them from numeric-valued expressions.),2,1e+20,1e+20,-1e+20,-1e+20,NONE,
CC * DLOSS,Yes,0.025,Fraction of power lost to inlet and outlet ducting,2,0.5,0.5,0,0,EFFICIENCY,FR
CC * ELEV,Yes,0,Elevation of the compressor,2,2377.44,3048,0,-76.2,ELEVATION,M
CC * HEC,Yes,1,Multiplier of table hydraulic efficiency values,2,0.99,1.1,0.6,0.5,NONE,
CC * HR,Yes,0,Constant heat rate,2,28297.1,42445.6,0,0,HEAT.RATE,KJ/KW-HR
CC * ME,Yes,0.97,The mechanical efficiency,2,0.99,1.1,0.6,0.5,EFFICIENCY,FR
CC * MXT+,Yes,260,High discharge temperature trip,2,315.556,371.111,15.5556,4.44444,TEMPERATURE,DC
CC * MXTE,Yes,5.55556e+21,Maximum power turbine exhaust temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
CC * NPOLY,Yes,1.3,Polytropic exponent,2,1.6,5,1.1,1.0001,NONE,
CC * NRN,Yes,1,Number of identical running compressors,2,10,20,0,0,NONE,
CC * PDMAX,Yes,0,Discharge pressure setpoint,2,13789.5,689473,9652.63,2068.42,PRESSURE,KPAG
CC * PSMIN,Yes,0,Suction pressure set point,2,5515.79,6894.73,2068.42,0,PRESSURE,KPAG
CC * PWMAX,Yes,74570,Maximum permissible turbine power under any conditions,2,18642.5,37285,74.57,0,POWER,KW
CC * SMAX,Yes,1e+22,Compressor maximum speed,2,1e+22,1e+22,0,0,SPEED,RPM
CC * SMIN,Yes,0,Compressor minimum speed,2,1e+22,1e+22,0,0,SPEED,RPM
CC * SQ,Yes,0,Flow set point,2,1.17987e+06,1.7698e+06,0,0,FLOW,M3/HR
CC * SS,Yes,0,Controlled compressor speed,2,1e+22,1e+22,0,0,SPEED,RPM
CC * START,Yes,3,Start time,2,10,30,0.4,0.25,TIME,MIN
CC * STOP,Yes,3,Stop time,2,10,30,0.4,0.25,TIME,MIN
CC * TA,Yes,21.1111,Ambient temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
CC * TR,Yes,15,Reference temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
CC * TRR,Yes,1.3,Temperature rise ratio,2,1.6,5,1.1,1.0001,NONE,
CO * ASTMA,Yes,18,ASTM Visc Coef A,2,10000,10000,0.001,0.001,NONE,
CO * ASTMB,Yes,7,ASTM Visc Coef B,2,10000,10000,0.001,0.001,NONE,
CO * BM,Yes,1.86158e+06,Bulk modulus,2,2.06842e+07,3.44737e+07,206842,68947.3,BULK.MOD,KPA
CO * D0,Yes,999.552,Density,2,1281.48,1601.85,640.739,320.369,DENSITY,KG/M3
CO * FR,Yes,0,Fluid/component fraction to inject at connection external,2,1,1,0,0,NONE,
CO * INT,Yes,0,"Interpolation parameter for repair of ""bad"" fmv's",2,1e+22,1e+22,-1e+22,-1e+22,NONE,
CO * P,Yes,689.473,Pressure at which following properties are measured,2,6894.73,13789.5,344.737,0,PRESSURE,KPAG
CO * PP,Yes,9.5,Multiplier for the delta P squared term,2,1000,1000,0,0,NONE,
CO * PT,Yes,-9.7,Multiplier for the delta P delta T term,2,1000,1000,-1000,-1000,NONE,
CO * SVL,Yes,5000,Sonic velocity,2,10000,50000,1000,100,NONE,
CO * T,Yes,15.5556,Temperature at which following properties are measured,2,37.7778,93.3333,-1.11111,-17.7778,TEMPERATURE,DC
CO * TM,Yes,-1611.11,Temperature modulus,2,-555.556,-277.778,-5555.56,-27777.8,DELTA.TEMP,DC
CO * V0,Yes,1.2,Viscosity,2,500,1000,0.1,0.01,VISCOSITY,CP
CO * VPMI,Yes,0,Pressure coefficient of viscosity,2,0.0145038,0.145038,-0.0145038,-0.145038,INVERSEDELTAP,1/KPA
CO * VTMI,Yes,-0.027,Temperature coefficient of viscosity,2,0,0,-1.8,-18,INVERSEDELTAT,1/DC
CUSTODY * PREF,Yes,101.325,Custody transfer pressure,3,137.895,344.737,68.9473,34.4737,ABSOLUTE.PRESSURE,KPAA
CUSTODY * TREF,Yes,15.5556,Custody transfer temperature,2,26.6667,37.7778,10,4.44444,TEMPERATURE,DC
CV * CGC,Yes,0,Valve coef when fully closed,2,0.410687,2.05343,0,0,VALVE.CG,M3/HR-KPA
CV * CGO,No,0,Valve coef when fully open,2,12320.6,123206,123.206,0,VALVE.CG,M3/HR-KPA
CV * DP,Yes,0,Pressure drop used to size optional series header,2,34.4737,137.895,0.689473,0,DELTA.PRES,KPA
CV * DRA_DEG,Yes,100,Amount of DRA destroyed at high pressure drop,2,100,100,0,0,DEGRADATION,PERCENT
CV * FR,Yes,0,Initial valve fraction,2,1,1,0,0,FRACTION,FR
CV * Q,Yes,0,Flow used to size optional series header,2,7949.36,13248.9,79.4936,0,FLOW,M3/HR
CV * TT,Yes,0,Travel time,2,3,20,0,0,TIME,MIN
DE * EXP,Yes,0,"Arithmetic, logical, or string value/expression",2,1e+20,1e+20,-1e+20,-1e+20,NONE,
DE * INIT,Yes,0,Initial value,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
DE * UIF,Yes,0,Update only when this expression is true,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
E AIR-INLET CIN,Yes,1,Inlet throat convergence factor,2,10,100,0.1,0.01,NONE,
E AIR-INLET COUT,Yes,1,Outlet throat convergence factor,2,10,100,0.1,0.01,NONE,
E AIR-INLET DPOPEN,Yes,13.7895,Pressure differential to open valve for air intake,2,27.5789,55.1579,0,0,DELTA.PRES,KPA
E AIR-INLET K,Yes,1.4,"Heat capacity ratio, Cp/Cv",2,1.8,1.8,1,1,NONE,
E AIR-INLET MWAIR,Yes,29,Molecular weight of atmospheric air,2,30,30,28,28,NONE,
E AIR-INLET PATM,Yes,0,Ambient atmospheric air pressure,,103.421,137.895,68.9473,34.4737,ABSOLUTE.PRESSURE,KPAA
E AIR-INLET TATM,Yes,15.5556,Ambient atmospheric air temperature,2,48.8889,93.3333,3.19744e-14,-17.7778,TEMPERATURE,DC
E AIR-INLET THROAT,Yes,0.64516,Valve throat area,2,58.0644,645.16,0.64516,0.064516,AREA,CM2
E AIR-INLET TPIPE,Yes,15.5556,Temperature of air in the pipe,2,48.8889,93.3333,3.19744e-14,-17.7778,TEMPERATURE,DC
E P-CONTROL P1,No,0,Lower end of the pressure control range,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
E P-CONTROL P2,No,0,Upper end of the pressure control range,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
E P-CONTROL T,Yes,21.1111,Temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
E Q(P) FLOW1,Yes,0,Lower end of the flow control range,2,6624.47,66244.7,-6624.47,-66244.7,FLOW,M3/HR
E Q(P) FLOW2,Yes,0,Upper end of the flow control range,2,6624.47,66244.7,-6624.47,-66244.7,FLOW,M3/HR
E Q(P) P1,No,0,Pressure used to scale the curve,2,10342.1,34473.7,0,0,PRESSURE,KPAG
E Q(P) P2,No,0,Pressure used to scale the curve,2,10342.1,34473.7,0,0,PRESSURE,KPAG
