,CCNC,CNC,ELEV,FLOWUNITS,FLWBYP,FROM FILE,KMPOST,LINE,MONSECTION,NOTE,PRATE,QRATE,TAGS,XCOORD,YCOORD
,n/a,n/a,M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,KPA,M3/HR,n/a,n/a,n/a
MON_BELPL_06_4_A0_PMLD,,NO_BELPL_06_4_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,3,0,,,,BELPL,10228,1515
MON_BELPL_06_4_A0_PMLS,,NO_BELPL_06_4_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,7,0,,,,BELPL,10238,1713
MON_BELPL_33_1_A0_PMLD,,NO_BELPL_33_1_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,11,0,,,,BELPL,10470,850
MON_BELPL_33_1_A0_PMLS,,NO_BELPL_33_1_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,15,0,,,,BELPL,10070,850
MON_BELPL_A0_PD,,NO_BELPL_N2,,M3/HR,0,INPREP_INC\KSTA\LDS\BELPL.INC,0,15,0,,,,BELPL,10168,2625
MON_BELPL_A0_PMLD,,NO_BELPL_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,19,0,,,,BELPL,9979,2178
MON_BELPL_A0_PMLS,,NO_BELPL_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,23,0,,,,CAROP,9761,2193
MON_BELPL_A0_PS,,NO_BELPL_N1,,M3/HR,0,INPREP_INC\KSTA\LDS\BELPL.INC,0,19,0,,,,CAROP,9744,2614
MON_BNDLO_20_5_A0_PMLD,,NO_BNDLO_20_5_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,31,0,,,,BNDLO,4281,1589
MON_BNDLO_20_5_A0_PMLS,,NO_BNDLO_20_5_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,39,0,,,,BNDLO,4256,1863
MON_BNDLO_A0_PD,,NO_BNDLO_N2,,M3/HR,0,INPREP_INC\KSTA\LDS\BNDLO.INC,0,14,0,,,,BNDLO,4554,2618
MON_BNDLO_A0_PMLD,,NO_BNDLO_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,43,0,,,,BNDLO,4366,2181
MON_BNDLO_A0_PMLS,,NO_BNDLO_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,47,0,,,,OYENP,4167,2187
MON_BNDLO_A0_PS,,NO_BNDLO_N1,,M3/HR,0,INPREP_INC\KSTA\LDS\BNDLO.INC,0,18,0,,,,OYENP,4148,2603
MON_BRSTL_31_2_A0_PMLD,,NO_BRSTL_31_2_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,51,0,,,,BRSTL,5032,1824
MON_BRSTL_31_2_A0_PMLS,,NO_BRSTL_31_2_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,55,0,,,,BRSTL,4982,1636
MON_BRSTL_A0_PD,,NO_BRSTL_N2,,M3/HR,0,INPREP_INC\KSTA\LDS\BRSTL.INC,0,14,0,,,,BRSTL,5000,1202
MON_BRSTL_A0_PMLD,,NO_BRSTL_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,59,0,,,,BRSTL,5000,1371
MON_BRSTL_A0_PMLS,,NO_BRSTL_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,63,0,,,,BNDLO,4915,817
MON_BRSTL_A0_PS,,NO_BRSTL_N1,,M3/HR,0,INPREP_INC\KSTA\LDS\BRSTL.INC,0,18,0,,,,BNDLO,5000,1066
MON_BRYAN_01A_B0_PMLD,,NO_BRYAN_01A_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,11,0,,,,BRYAN,37500,5411
MON_BRYAN_01A_B0_PMLS,,NO_BRYAN_01A_S,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,15,0,,,,BRYAN,37536,5681
MON_BRYAN_01B_B0_PMLD,,NO_BRYAN_01B_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,19,0,,,,BRYAN,37498,4781
MON_BRYAN_01B_B0_PMLS,,NO_BRYAN_01B_S,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,23,0,,,,BRYAN,37510,5092
MON_BRYAN_02A_B0_PMLD,,NO_BRYAN_02A_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,27,0,,,,BRYAN,37996,4148
MON_BRYAN_02A_B0_PMLS,,NO_BRYAN_02A_CKV_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,31,0,,,,BRYAN,37255,4186
MON_BRYAN_02B_B0_PMLD,,NO_BRYAN_02B_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,35,0,,,,BRYAN,37956,4731
MON_BRYAN_02B_B0_PMLS,,NO_BRYAN_02B_S,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,39,0,,,,BRYAN,37958,4522
MON_BRYAN_03A_B0_PMLD,,NO_BRYAN_03A_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,43,0,,,,BRYAN,37938,5335
MON_BRYAN_03A_B0_PMLS,,NO_BRYAN_03A_S,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,47,0,,,,BRYAN,37945,5016
MON_BRYAN_04A_B0_PMLD,,NO_BRYAN_04A_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,51,0,,,,BRYAN,38016,5793
MON_BRYAN_04A_B0_PMLS,,NO_BRYAN_04A_CKV_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,55,0,,,,BRYAN,37997,5554
MON_BRYAN_B0_PD,,NO_BRYAN_N2,,M3/HR,0,INPREP_INC\KSTD\LDS\BRYAN.INC,0,15,0,,,,BRYAN,37478,6381
MON_BRYAN_B0_PMLD,,NO_BRYAN_D,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,59,0,,,,BRYAN,37295,5944
MON_BRYAN_B0_PMLS,,NO_BRYAN_S,,M3/HR,0,INPREP_INC\KSTD\KSTD_MONITORS.INC,0,63,0,,,,TPELO,37053,5954
MON_BRYAN_B0_PS,,NO_BRYAN_N1,,M3/HR,0,INPREP_INC\KSTD\LDS\BRYAN.INC,0,19,0,,,,TPELO,37057,6363
MON_BURNS_01A_B0_PMLD,,NO_BURNS_01A_D,,M3/HR,0,INPREP_INC\KSTC\KSTC_MONITORS.INC,0,3,0,,,,HOPEP,31876,5635
MON_BURNS_01A_B0_PMLS,,NO_BURNS_01A_S,,M3/HR,0,INPREP_INC\KSTC\KSTC_MONITORS.INC,0,7,0,,,,HOPEP,31844,5219
MON_CABRP_25_1_A0_PMLD,,NO_CABRP_25_1_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,67,0,,,,CABRP,6542,1694
MON_CABRP_25_1_A0_PMLS,,NO_CABRP_25_1_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,71,0,,,,CABRP,6030,1687
MON_CABRP_A0_PD,,NO_CABRP_N2,,M3/HR,0,INPREP_INC\KSTA\LDS\CABRP.INC,0,15,0,,,,CABRP,6173,2601
MON_CABRP_A0_PMLD,,NO_CABRP_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,75,0,,,,CABRP,5973,2167
MON_CABRP_A0_PMLS,,NO_CABRP_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,79,0,,,,LBNTL,5762,2170
MON_CABRP_A0_PS,,NO_CABRP_N1,,M3/HR,0,INPREP_INC\KSTA\LDS\CABRP.INC,0,19,0,,,,LBNTL,5744,2613
MON_CARMA_36_4_A0_PMLD,,NO_CARMA_36_4_D,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,83,0,,,,CARMA,18217,1269
MON_CARMA_36_4_A0_PMLS,,NO_CARMA_36_4_S,,M3/HR,0,INPREP_INC\KSTA\KSTA_MONITORS.INC,0,87,0,,,,CARMA,18102,1954
