,CCNC,ELEV,FLOWUNITS,FROM FILE,LINE,NOTE,PMAX,PMIN,PRATE,QMAX,QMIN,QRATE,SNQ,SPT,T+,TAGS,XCOORD,YCOORD
,n/a,M,n/a,n/a,n/a,n/a,KPAG,KPAG,KPA,M3/HR,M3/HR,M3/HR,M3/HR,n/a,DC,n/a,n/a,n/a
NO_BELPL_06_4_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,265,,,,10000,,,,,Flow,5,,10070,1588
NO_BELPL_06_4_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,263,,,,10000,,,,,Flow,5,,10070,1788
NO_BELPL_33_1_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,269,,,,10000,,,,,Flow,5,,10470,988
NO_BELPL_33_1_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,267,,,,10000,,,,,Flow,5,,10070,988
NO_BELPL_45_1_CKV_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,587,,,,10000,,,,,Flow,5,,10470,1588
NO_BELPL_45_1_CKV_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,585,,,,10000,,,,,Flow,5,,10470,1388
NO_BELPL_45_1_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,589,,,,10000,,,,,Flow,5,,10470,1788
NO_BELPL_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,55,,,,10000,,,,,Flow,5,,10070,2250
NO_BELPL_N1,,,M3/HR,INPREP_INC\KSTA\LDS\BELPL.INC,90,,,,10000,,,,,Flow,5,,9670,2690
NO_BELPL_N2,,,M3/HR,INPREP_INC\KSTA\LDS\BELPL.INC,23,,,,10000,,,,,Flow,5,,10070,2690
NO_BELPL_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,53,,,,10000,,,,,Flow,5,,9670,2250
NO_BNDLO_20_5_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,219,,,,10000,,,,,Flow,5,,4470,1588
NO_BNDLO_20_5_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,217,,,,10000,,,,,Flow,5,,4470,1788
NO_BNDLO_22_0_CKV_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,223,,,,10000,,,,,Flow,5,,4470,1188
NO_BNDLO_22_0_CKV_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,221,,,,10000,,,,,Flow,5,,4470,1388
NO_BNDLO_22_0_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,225,,,,10000,,,,,Flow,5,,4470,888
NO_BNDLO_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,27,,,,10000,,,,,Flow,5,,4470,2250
NO_BNDLO_N1,,,M3/HR,INPREP_INC\KSTA\LDS\BNDLO.INC,87,,,,10000,,,,,Flow,5,,4070,2690
NO_BNDLO_N2,,,M3/HR,INPREP_INC\KSTA\LDS\BNDLO.INC,89,,,,10000,,,,,Flow,5,,4470,2690
NO_BNDLO_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,25,,,,10000,,,,,Flow,5,,4070,2250
NO_BRSTL_31_2_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,229,,,,10000,,,,,Flow,5,,4870,1888
NO_BRSTL_31_2_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,227,,,,10000,,,,,Flow,5,,4870,1688
NO_BRSTL_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,231,,,,10000,,,,,Flow,5,,4870,1388
NO_BRSTL_N1,,,M3/HR,INPREP_INC\KSTA\LDS\BRSTL.INC,9,,,,10000,,,,,Flow,5,,4870,1050
NO_BRSTL_N2,,,M3/HR,INPREP_INC\KSTA\LDS\BRSTL.INC,7,,,,10000,,,,,Flow,5,,4870,1200
NO_BRSTL_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,3,,,,10000,,,,,Flow,5,,4870,900
NO_BRYAN_01A_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,146,,,,10000,,,,,Flow,5,,37382,5459
NO_BRYAN_01A_S,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,150,,,,10000,,,,,Flow,5,,37382,5659
NO_BRYAN_01B_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,148,,,,10000,,,,,Flow,5,,37382,4853
NO_BRYAN_01B_S,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,154,,,,10000,,,,,Flow,5,,37382,5142
NO_BRYAN_02A_CKV_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,158,,,,10000,,,,,Flow,5,,37382,4253
NO_BRYAN_02A_CKV_S,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,174,,,,10000,,,,,Flow,5,,37382,4453
NO_BRYAN_02A_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,170,,,,10000,,,,,Flow,5,,37780,4259
NO_BRYAN_02B_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,182,,,,10000,,,,,Flow,5,,37780,4759
NO_BRYAN_02B_S,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,180,,,,10000,,,,,Flow,5,,37780,4559
NO_BRYAN_03A_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,190,,,,10000,,,,,Flow,5,,37780,5259
NO_BRYAN_03A_S,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,184,,,,10000,,,,,Flow,5,,37780,5059
NO_BRYAN_04A_CKV_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,188,,,,10000,,,,,Flow,5,,37780,5589
NO_BRYAN_04A_CKV_S,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,3,,,,10000,,,,,Flow,5,,37780,5431
NO_BRYAN_04A_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,186,,,,10000,,,,,Flow,5,,37780,5729
NO_BRYAN_D,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,80,,,,10000,,,,,Flow,5,,37382,6053
NO_BRYAN_N1,,,M3/HR,INPREP_INC\KSTD\LDS\BRYAN.INC,23,,,,10000,,,,,Flow,5,,36980,6441
NO_BRYAN_N2,,,M3/HR,INPREP_INC\KSTD\LDS\BRYAN.INC,25,,,,10000,,,,,Flow,5,,37382,6441
NO_BRYAN_S,,,M3/HR,INPREP_INC\KSTD\KSTD_NODE.INC,56,,,,10000,,,,,Flow,5,,36980,6053
NO_BURNS_01A_D,,,M3/HR,INPREP_INC\KSTC\KSTC_NODE.INC,55,,,,10000,,,,,Flow,5,,32025,5548
NO_BURNS_01A_S,,,M3/HR,INPREP_INC\KSTC\KSTC_NODE.INC,53,,,,10000,,,,,Flow,5,,32025,5360
NO_BURNS_D,,,M3/HR,INPREP_INC\KSTC\KSTC_NODE.INC,51,,,,10000,,,,,Flow,5,,32025,5136
NO_BURNS_N1,,,M3/HR,INPREP_INC\KSTC\LDS\BURNS.INC,6,,,,10000,,,,,Flow,5,,32025,4598
NO_BURNS_N2,,,M3/HR,INPREP_INC\KSTC\LDS\BURNS.INC,8,,,,10000,,,,,Flow,5,,32025,4898
NO_BURNS_S,,,M3/HR,INPREP_INC\KSTC\KSTC_NODE.INC,49,,,,10000,,,,,Flow,5,,32025,4276
NO_CABRP_25_1_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,239,,,,10000,,,,,Flow,5,,6470,1788
NO_CABRP_25_1_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,237,,,,10000,,,,,Flow,5,,6070,1788
NO_CABRP_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,35,,,,10000,,,,,Flow,5,,6070,2250
NO_CABRP_N1,,,M3/HR,INPREP_INC\KSTA\LDS\CABRP.INC,23,,,,10000,,,,,Flow,5,,5670,2690
NO_CABRP_N2,,,M3/HR,INPREP_INC\KSTA\LDS\CABRP.INC,25,,,,10000,,,,,Flow,5,,6070,2690
NO_CABRP_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,33,,,,10000,,,,,Flow,5,,5670,2250
NO_CARMA_36_4_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,353,,,,10000,,,,,Flow,5,,18270,1388
NO_CARMA_36_4_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,349,,,,10000,,,,,Flow,5,,18270,1766
NO_CARMA_49_2_CKV_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,359,,,,10000,,,,,Flow,5,,18670,1588
NO_CARMA_49_2_CKV_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,357,,,,10000,,,,,Flow,5,,18670,1388
NO_CARMA_49_2_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,559,,,,10000,,,,,Flow,5,,18670,1857
NO_CARMA_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,109,,,,10000,,,,,Flow,5,,18270,2250
NO_CARMA_N1,,,M3/HR,INPREP_INC\KSTA\LDS\CARMA.INC,23,,,,10000,,,,,Flow,5,,17670,2710
NO_CARMA_N2,,,M3/HR,INPREP_INC\KSTA\LDS\CARMA.INC,25,,,,10000,,,,,Flow,5,,18270,2710
NO_CARMA_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,107,,,,10000,,,,,Flow,5,,17670,2250
NO_CAROP_23_3_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,259,,,,10000,,,,,Flow,5,,9270,1588
NO_CAROP_23_3_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,257,,,,10000,,,,,Flow,5,,9270,1788
NO_CAROP_39_7_D,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,541,,,,10000,,,,,Flow,5,,9670,988
NO_CAROP_39_7_S,,,M3/HR,INPREP_INC\KSTA\KSTA_NODE.INC,539,,,,10000,,,,,Flow,5,,9270,988
