,Pipe Dist,Horiz Dist,Elev,MAOP,LAOP,MASP,LASP
,KM,KM,M,KPAG,KPAG,KPAG,KPAG
T_BELPL_06_4_BELPL_33_1,618.638,,585.65,6070,,,
T_BELPL_06_4_BELPL_33_1,618.642,,585.597,6070,,,
T_BELPL_06_4_BELPL_33_1,618.646,,585.512,6070,,,
T_BELPL_06_4_BELPL_33_1,618.648,,585.474,6070,,,
T_BELPL_06_4_BELPL_33_1,618.649,,585.437,6070,,,
T_BELPL_06_4_BELPL_33_1,618.686,,584.855,6070,,,
T_BELPL_06_4_BELPL_33_1,618.699,,584.886,6070,,,
T_BELPL_06_4_BELPL_33_1,618.712,,585.179,6070,,,
T_BELPL_06_4_BELPL_33_1,618.713,,585.209,6070,,,
T_BELPL_06_4_BELPL_33_1,618.764,,585.458,6070,,,
T_BELPL_06_4_BELPL_33_1,618.766,,585.428,6070,,,
T_BELPL_06_4_BELPL_33_1,618.768,,585.417,6070,,,
T_BELPL_06_4_BELPL_33_1,618.777,,585.355,6070,,,
T_BELPL_06_4_BELPL_33_1,618.789,,585.231,6070,,,
T_BELPL_06_4_BELPL_33_1,618.798,,585.046,6070,,,
T_BELPL_06_4_BELPL_33_1,618.803,,584.983,6070,,,
T_BELPL_06_4_BELPL_33_1,618.813,,585.071,6070,,,
T_BELPL_06_4_BELPL_33_1,618.815,,585.092,6070,,,
T_BELPL_06_4_BELPL_33_1,618.827,,585.179,6070,,,
T_BELPL_06_4_BELPL_33_1,618.839,,585.159,6070,,,
T_BELPL_06_4_BELPL_33_1,618.851,,585.107,6070,,,
T_BELPL_06_4_BELPL_33_1,618.863,,585.006,6070,,,
T_BELPL_06_4_BELPL_33_1,618.872,,584.909,6070,,,
T_BELPL_06_4_BELPL_33_1,618.93,,584.667,6070,,,
T_BELPL_06_4_BELPL_33_1,618.954,,584.475,6070,,,
T_BELPL_06_4_BELPL_33_1,618.978,,584.268,6070,,,
T_BELPL_06_4_BELPL_33_1,618.99,,584.217,6070,,,
T_BELPL_06_4_BELPL_33_1,619.014,,584.037,6070,,,
T_BELPL_06_4_BELPL_33_1,619.026,,583.948,6070,,,
T_BELPL_06_4_BELPL_33_1,619.049,,583.92,6070,,,
T_BELPL_06_4_BELPL_33_1,619.06,,583.918,6070,,,
T_BELPL_06_4_BELPL_33_1,619.072,,583.876,6070,,,
T_BELPL_06_4_BELPL_33_1,619.084,,583.775,6070,,,
T_BELPL_06_4_BELPL_33_1,619.108,,583.579,6070,,,
T_BELPL_06_4_BELPL_33_1,619.12,,583.56,6070,,,
T_BELPL_06_4_BELPL_33_1,619.144,,583.612,6070,,,
T_BELPL_06_4_BELPL_33_1,619.156,,583.661,6070,,,
T_BELPL_06_4_BELPL_33_1,619.201,,583.658,6070,,,
T_BELPL_06_4_BELPL_33_1,619.208,,583.623,6070,,,
T_BELPL_06_4_BELPL_33_1,619.216,,583.523,6070,,,
T_BELPL_06_4_BELPL_33_1,619.228,,583.358,6070,,,
T_BELPL_06_4_BELPL_33_1,619.24,,583.31,6070,,,
T_BELPL_06_4_BELPL_33_1,619.253,,583.318,6070,,,
T_BELPL_06_4_BELPL_33_1,619.37,,584.449,6070,,,
T_BELPL_06_4_BELPL_33_1,619.382,,584.424,6070,,,
T_BELPL_06_4_BELPL_33_1,619.406,,584.221,6070,,,
T_BELPL_06_4_BELPL_33_1,619.43,,584.251,6070,,,
T_BELPL_06_4_BELPL_33_1,619.498,,584.44,6070,,,
T_BELPL_06_4_BELPL_33_1,619.51,,584.644,6070,,,
T_BELPL_06_4_BELPL_33_1,619.521,,584.841,6070,,,
T_BELPL_06_4_BELPL_33_1,619.522,,584.872,6070,,,
T_BELPL_06_4_BELPL_33_1,619.536,,584.9,6070,,,
T_BELPL_06_4_BELPL_33_1,619.547,,584.837,6070,,,
T_BELPL_06_4_BELPL_33_1,619.668,,584.741,6070,,,
T_BELPL_06_4_BELPL_33_1,619.68,,584.761,6070,,,
T_BELPL_06_4_BELPL_33_1,619.822,,584.6,6070,,,
T_BELPL_06_4_BELPL_33_1,619.834,,584.588,6070,,,
T_BELPL_06_4_BELPL_33_1,619.846,,584.549,6070,,,
T_BELPL_06_4_BELPL_33_1,619.859,,584.52,6070,,,
T_BELPL_06_4_BELPL_33_1,619.883,,584.509,6070,,,
T_BELPL_06_4_BELPL_33_1,619.907,,584.491,6070,,,
T_BELPL_06_4_BELPL_33_1,620.089,,584.148,6070,,,
T_BELPL_06_4_BELPL_33_1,620.101,,584.109,6070,,,
T_BELPL_06_4_BELPL_33_1,620.113,,584.08,6070,,,
T_BELPL_06_4_BELPL_33_1,620.125,,584.081,6070,,,
T_BELPL_06_4_BELPL_33_1,620.149,,583.934,6070,,,
T_BELPL_06_4_BELPL_33_1,620.162,,583.823,6070,,,
T_BELPL_06_4_BELPL_33_1,620.174,,583.893,6070,,,
T_BELPL_06_4_BELPL_33_1,620.186,,584.131,6070,,,
T_BELPL_06_4_BELPL_33_1,620.198,,584.136,6070,,,
T_BELPL_06_4_BELPL_33_1,620.21,,584.058,6070,,,
T_BELPL_06_4_BELPL_33_1,620.295,,583.961,6070,,,
T_BELPL_06_4_BELPL_33_1,620.304,,583.97,6070,,,
T_BELPL_06_4_BELPL_33_1,620.339,,583.995,6070,,,
T_BELPL_06_4_BELPL_33_1,620.352,,584.099,6070,,,
T_BELPL_06_4_BELPL_33_1,620.402,,583.948,6070,,,
T_BELPL_06_4_BELPL_33_1,620.414,,583.909,6070,,,
T_BELPL_06_4_BELPL_33_1,620.427,,583.893,6070,,,
T_BELPL_06_4_BELPL_33_1,620.439,,584.053,6070,,,
T_BELPL_06_4_BELPL_33_1,620.499,,584.228,6070,,,
T_BELPL_06_4_BELPL_33_1,620.511,,584.185,6070,,,
T_BELPL_06_4_BELPL_33_1,620.523,,584.083,6070,,,
T_BELPL_06_4_BELPL_33_1,620.536,,583.964,6070,,,
T_BELPL_06_4_BELPL_33_1,620.548,,583.861,6070,,,
T_BELPL_06_4_BELPL_33_1,620.56,,583.704,6070,,,
