,CCNC,CNC,ELEV,FLOWUNITS,FLWBYP,FROM FILE,KMPOST,LINE,MONSECTION,NOTE,PMAX,PMIN,PRATE,QMAX,QMIN,QRATE,SNQ,SPT,STYPE,T+,TAGS,XCOORD,YCOORD
,n/a,n/a,M,n/a,n/a,n/a,n/a,n/a,n/a,n/a,KPAG,KPAG,KPA,M3/HR,M3/HR,M3/HR,M3/HR,n/a,n/a,DC,n/a,n/a,n/a
SALE_CITGO_DEL,,NO_CITGO_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,24,0,,,,,,,,,Flow,SALE,40,,42174,4153
SALE_CSHNG_DEL,,NO_CSHNG_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,3,0,,,,,,,,,Flow,SALE,40,,34492,6078
SALE_HRTDD_DEL,,NO_HRTDD_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,64,0,,,,,,,,,Flow,SALE,40,,37469,1026
SALE_HSTNT_DEL,,NO_HSTNT_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,33,0,,,,,,,,,Flow,SALE,40,,44614,6058
SALE_LUCAS_DEL,,NO_LUCAS_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,21,0,,,,,,,,,Flow,SALE,40,,43716,5498
SALE_NDRLD_DEL,,NO_NDRLD_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,27,0,,,,,,,,,Flow,SALE,40,,44987,5256
SALE_PTNCI_DEL,,NO_PTNCI_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,30,0,,,,,,,,,Flow,SALE,40,,46439,4884
SALE_PTOKA_DEL,,NO_PTOKA_DEL,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,61,0,,,,,,,,,Flow,SALE,40,,39539,2241
TAKE_BELPL_DRA,,NO_BELPL_D,,L/H,0,INPREP_INC\KSTA\KSTA_DRA.INC,0,133,0,,,,,,,,,Flow,TAKE,40,,10215,2158
TAKE_BNDLO_DRA,,NO_BNDLO_D,,L/H,0,INPREP_INC\KSTA\KSTA_DRA.INC,0,118,0,,,,,,,,,Flow,TAKE,40,,4608,2143
TAKE_BRYAN_DRA,,NO_BRYAN_D,,L/H,0,INPREP_INC\KSTD\KSTD_DRA.INC,0,13,0,,,,,,,,,Flow,TAKE,40,,37504,6054
TAKE_CARMA_DRA,,NO_CARMA_D,,L/H,0,INPREP_INC\KSTA\KSTA_DRA.INC,0,28,0,,,,,,,,,Flow,TAKE,40,,18390,2178
TAKE_CAROP_DRA,,NO_CAROP_D,,L/H,0,INPREP_INC\KSTA\KSTA_DRA.INC,0,143,0,,,,,,,,,Flow,TAKE,40,,9420,2180
TAKE_CHPLN_DRA,,NO_CHPLN_D,,L/H,0,INPREP_INC\KSTA\KSTA_DRA.INC,0,128,0,,,,,,,,,Flow,TAKE,40,,8620,2152
TAKE_CNTRL_DRA,,NO_CNTRL_D,,L/H,0,INPREP_INC\KSTB\KSTB_DRA.INC,0,28,0,,,,,,,,,Flow,TAKE,40,,35200,2153
TAKE_CORGN_DRA,,NO_CORGN_D,,L/H,0,INPREP_INC\KSTD\KSTD_DRA.INC,0,33,0,,,,,,,,,Flow,TAKE,40,,41486,6031
TAKE_CRMWL_DRA,,NO_CRMWL_D,,L/H,0,INPREP_INC\KSTD\KSTD_DRA.INC,0,8,0,,,,,,,,,Flow,TAKE,40,,35904,6030
TAKE_CRNDL_DRA,,NO_CRNDL_D,,L/H,0,INPREP_INC\KSTA\KSTA_DRA.INC,0,18,0,,,,,,,,,Flow,TAKE,40,,15010,2161
TAKE_CRPTR_DRA,,NO_CRPTR_D,,L/H,0,INPREP_INC\KSTA\KSTA_DRA.INC,0,68,0,,,,,,,,,Flow,TAKE,40,,24796,2149
TAKE_CSHSP_DRA,,NO_CSHSP_D1,,L/H,0,INPREP_INC\KSTD\KSTD_DRA.INC,0,3,0,,,,,,,,,Flow,TAKE,40,,35124,6027
TAKE_CSHTT_MB11_REC,,NO_CSHTT_MB11_S,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,36,0,,,,,,,,,Flow,TAKE,40,,33501,7244
TAKE_CSHTT_MB12_REC,,NO_CSHTT_MB12_S,,M3/HR,0,INPREP_INC\Externals\EXTERNALS.INC,0,46,0,,,,,,,,,Flow,TAKE,40,,33727,7255
