,CNC,FROM FILE,LEVEL,LINE,NOTE,TAGS
,n/a,n/a,n/a,n/a,n/a,n/a
ST_BELPL,NO_BELPL_S,INPREP_INC\KSTA\LDS\BELPL.INC,,3,,
ST_BRSTL,NO_BRSTL_S,INPREP_INC\KSTA\LDS\BRSTL.INC,,3,,
ST_BRYAN,NO_BRYAN_S,INPREP_INC\KSTD\LDS\BRYAN.INC,,3,,
ST_CABRP,NO_CABRP_S,INPREP_INC\KSTA\LDS\CABRP.INC,,3,,
ST_CARMA,NO_CARMA_S,INPREP_INC\KSTA\LDS\CARMA.INC,,3,,
ST_CAROP,NO_CAROP_S,INPREP_INC\KSTA\LDS\CAROP.INC,,3,,
ST_CHPLN,NO_CHPLN_S,INPREP_INC\KSTA\LDS\CHPLN.INC,,3,,
ST_CITGO,NO_CITGO_DEL,INPREP_INC\KSTD\LDS\CITGO.INC,,3,,
ST_CNTRL,NO_CNTRL_S,INPREP_INC\KSTB\LDS\CNTRL.INC,,3,,
ST_CORGN,NO_CORGN_S,INPREP_INC\KSTD\LDS\CORGN.INC,,3,,
ST_CRMWL,NO_CRMWL_S,INPREP_INC\KSTD\LDS\CRMWL.INC,,3,,
ST_CRNDL,NO_CRNDL_S,INPREP_INC\KSTA\LDS\CRNDL.INC,,3,,
ST_CRPTR,NO_CRPTR_S,INPREP_INC\KSTA\LDS\CRPTR.INC,,3,,
ST_CSHSP,NO_CSHTT_N2,INPREP_INC\KSTD\LDS\CSHSP.INC,,4,/* Idealized regulator RE CSHNG_CV  CSHNG_N1 NODE1 BALL_NPS20_PS_CV_NO_MEC_STOPS 131 13200 + TRAVEL.TIME 0.13333 + DOWNSTREAM.PRESSURE.SETPOINT 1900*,
ST_DELTA,NO_DELTA_S,INPREP_INC\KSTD\LDS\DELTA.INC,,3,,
ST_DVDCT,NO_DVDCT_S,INPREP_INC\KSTA\LDS\DVDCT.INC,,3,,
ST_EDNBG,NO_EDNBG_S,INPREP_INC\KSTA\LDS\EDNBG.INC,,3,,
ST_ELMCK,NO_ELMCK_S,INPREP_INC\KSTA\LDS\ELMCK.INC,,3,,
ST_FERNY,NO_FERNY_S,INPREP_INC\KSTA\LDS\FERNY.INC,,3,,
ST_FREMA,NO_FREMA_S,INPREP_INC\KSTA\LDS\FREMA.INC,,3,,
ST_FTRSM,NO_FTRSM_S,INPREP_INC\KSTA\LDS\FTRSM.INC,,3,,
ST_GRNFL,NO_GRNFL_S,INPREP_INC\KSTA\LDS\GRNFL.INC,,3,,
ST_HOPEP,NO_HOPEP_S,INPREP_INC\KSTC\LDS\HOPEP.INC,,3,,
ST_HRBRT,NO_HRBRT_S,INPREP_INC\KSTA\LDS\HRBRT.INC,,3,,
ST_HRDSY,NO_HRDSY_D,INPREP_INC\KSTA\LDS\HRDSY.INC,,16,,
ST_HRTFD,NO_HRTDD_DEL,INPREP_INC\KSTB\LDS\HRTFD.INC,,5,,
ST_HRTGT,NO_HRTGT_S,INPREP_INC\KSTA\LDS\HRTGT.INC,,3,,
ST_HSKTT,NO_HSKTT_S,INPREP_INC\KSTA\LDS\HSKTT.INC,,3,,
ST_HSTNT,NO_HSTNT_N1,INPREP_INC\KSTD\LDS\HSTNT.INC,,3,,
ST_KENDL,NO_KENDL_S,INPREP_INC\KSTA\LDS\KENDL.INC,,3,,
ST_LBNTL,NO_LBNTL_S,INPREP_INC\KSTA\LDS\LBNTL.INC,,3,,
ST_LIBRT,NO_HSTNL_N1,INPREP_INC\KSTD\LDS\LIBRT.INC,,3,,
ST_LKSND,NO_LKSND_D,INPREP_INC\KSTA\LDS\LKSND.INC,,91,,
ST_LKTLR,NO_LKTLR_S,INPREP_INC\KSTD\LDS\LKTLR.INC,,3,,
ST_LUCAS,NO_LUCAS_N2,INPREP_INC\KSTD\LDS\LUCAS.INC,,3,,
ST_LUDDE,NO_LUDDE_S,INPREP_INC\KSTA\LDS\LUDDE.INC,,3,,
ST_LUFKN,NO_LUFKN_S,INPREP_INC\KSTD\LDS\LUFKN.INC,,3,,
ST_LUVER,NO_LUVER_S,INPREP_INC\KSTA\LDS\LUVER.INC,,3,,
ST_MDLTP,NO_MDLTP_S,INPREP_INC\KSTB\LDS\MDLTP.INC,,3,,
ST_MNTOR,NO_MNTOR_S,INPREP_INC\KSTA\LDS\MNTOR.INC,,3,,
ST_MOSMI,NO_MOSMI_S,INPREP_INC\KSTA\LDS\MOSMI.INC,,3,,
ST_NAGRA,NO_NAGRA_S,INPREP_INC\KSTA\LDS\NAGRA.INC,,3,,
ST_NDRLD,NO_NDRLD_DEL,INPREP_INC\KSTD\LDS\NDRLD.INC,,16,,
ST_OYENP,NO_OYENP_S,INPREP_INC\KSTA\LDS\OYENP.INC,,3,,
ST_PEROP,NO_PEROP_S,INPREP_INC\KSTB\LDS\PEROP.INC,,3,,
ST_PNCCP,NO_PNCCP_S,INPREP_INC\KSTC\LDS\PNCCP.INC,,3,,
ST_PNLPN,NO_PNLPN_D,INPREP_INC\KSTD\LDS\PNLPN.INC,,33,,
ST_PRTLP,NO_PRTLP_S,INPREP_INC\KSTA\LDS\PRTLP.INC,,3,,
ST_PTNCI,NO_PTNCI_DEL,INPREP_INC\KSTD\LDS\PTNCI.INC,,11,,
ST_PTOKA,NO_PTOKA_DEL,INPREP_INC\KSTB\LDS\PTOKA.INC,,3,,
ST_REGNA,NO_REGNA_S,INPREP_INC\KSTA\LDS\REGNA.INC,,3,,
ST_RILEY,NO_RILEY_S,INPREP_INC\KSTC\LDS\RILEY.INC,,3,,
ST_ROCKP,NO_ROCKP_S,INPREP_INC\KSTC\LDS\ROCKP.INC,,3,,
ST_ROSWL,NO_ROSWL_S,INPREP_INC\KSTA\LDS\ROSWL.INC,,3,,
ST_RPDCT,NO_RPDCT_S,INPREP_INC\KSTA\LDS\RPDCT.INC,,3,,
ST_SLBRY,NO_SLBRY_S,INPREP_INC\KSTB\LDS\SLBRY.INC,,3,,
ST_SNECA,NO_SNECA_S,INPREP_INC\KSTB\LDS\SNECA.INC,,3,,
ST_SNTPL,NO_SNTPL_S,INPREP_INC\KSTB\LDS\SNTPL.INC,,3,,
ST_STLCT,NO_STLCT_SWING_D,INPREP_INC\KSTA\LDS\STLCT.INC,,3,,
ST_STNTO,NO_STNTO_S,INPREP_INC\KSTA\LDS\STNTO.INC,,3,,
ST_STWTV,NO_STWTV_S,INPREP_INC\KSTA\LDS\STWTV.INC,,3,,
ST_SVRNC,NO_SVRNC_S,INPREP_INC\KSTB\LDS\SVRNC.INC,,3,,
ST_TINAP,NO_TINAP_S,INPREP_INC\KSTB\LDS\TINAP.INC,,3,,
ST_TPELO,NO_TPELO_S,INPREP_INC\KSTD\LDS\TPELO.INC,,3,,
ST_TRNEY,NO_TRNEY_S,INPREP_INC\KSTB\LDS\TRNEY.INC,,3,,
ST_WELWD,NO_WELWD_S,INPREP_INC\KSTA\LDS\WELWD.INC,,3,,
ST_WLBER,NO_WLBER_S,INPREP_INC\KSTA\LDS\WLBER.INC,,3,,
ST_WNSBR,NO_WNSBR_S,INPREP_INC\KSTD\LDS\WNSBR.INC,,3,,
ST_WTWOD,NO_WTWOD_S,INPREP_INC\KSTA\LDS\WTWOD.INC,,3,,
