,AMP,DRAD,EE,EFF,FILL_CP,FILL_DEN,FILL_K,FILL_KNOT,FILL_THIK,FRICTION,FROM,FROM FILE,GRND_CP,GRND_DEN,GRND_K,GRND_KNOT,GRND_THIK,KS,LAOPP,LEN,LINE,MAOP1_DUR,MAOP1_EXCEED,MAOP1_LOC,MAOP1_WARN,MAOP2_DUR,MAOP2_EXCEED,MAOP2_LOC,MAOP2_WARN,MAOP_ALM,MAOP_DUR,MAOP_EXCEED,MAOP_LOC,MAOP_WARN,MAOPP,MODULUS,MONSECTION,NOTE,OD,P.ADJ+,P.ADJ-,PRESSURE.ADJ,PRESSURE.OFFSET,RUF,SVB,T+,T-,TAGS,TCURV,TO,USING_BDEP,WALL_CP,WALL_DEN,WALL_K,WALL_KNOT,WRAP_CP,WRAP_DEN,WRAP_K,WRAP_KNOT,WRAP_THIK,WT,XCOORD,YCOORD
,n/a,1/KM,M,n/a,KJ/KG-DC,KG/M3,KJ/HR-M-DC,n/a,MM,n/a,n/a,n/a,KJ/KG-DC,KG/M3,KJ/HR-M-DC,n/a,MM,KM,n/a,KM,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,GPA,n/a,n/a,MM,n/a,n/a,n/a,n/a,MM,M3,DC,DC,n/a,n/a,n/a,n/a,KJ/KG-DC,KG/M3,KJ/HR-M-DC,n/a,KJ/KG-DC,KG/M3,KJ/HR-M-DC,n/a,MM,MM,n/a,n/a
T_BELPL_06_4_BELPL_33_1,,,,,,,,,,COLEBROOK,NO_BELPL_06_4_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,26.5635,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BELPL-A0""",,863.6,0,0,0,0,,,10.98,10.9,BELPL-A0,,NO_BELPL_33_1_S,No,,,,,,,,,,9.55402,10070,1388
T_BELPL_33_1_BELPL_45_1_CKV,,,,,,,,,,COLEBROOK,NO_BELPL_33_1_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,11.8072,3958,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BELPL-A0""",,863.6,0,0,0,0,,,11.24,10.98,BELPL-A0,,NO_BELPL_45_1_CKV_S,No,,,,,,,,,,10.1657,10470,1188
T_BELPL_45_1_REGNA,,,,,,,,,,COLEBROOK,NO_BELPL_45_1_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,15.1841,4484,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BELPL-A0""",,863.6,0,0,0,0,,,11.56,11.24,BELPL-A0,,NO_REGNA_S,No,,,,,,,,,,9.58899,10470,1988
T_BELPL_BELPL_06_4,,,,,,,,,,COLEBROOK,NO_BELPL_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,6.35726,16112,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BELPL-A0""",,863.6,0,0,0,0,,,10.9,10.99,BELPL-A0,,NO_BELPL_06_4_S,No,,,,,,,,,,9.5235,10070,1988
T_BNDLO_20_5_BNDLO_22_0_CKV,,,,,,,,,,COLEBROOK,NO_BNDLO_20_5_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,1.47092,869,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BNDLO-A0""",,762,0,0,0,0,,,12.9,12.9,BNDLO-A0,,NO_BNDLO_22_0_CKV_S,No,,,,,,,,,,14.4955,4470,1488
T_BNDLO_22_0_BRSTL,,,,,,,,,,COLEBROOK,NO_BNDLO_22_0_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,18.919,886,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BNDLO-A0""",,762,0,0,0,0,,,12.93,12.9,BNDLO-A0,,NO_BRSTL_S,No,,,,,,,,,,13.0002,4670,789
T_BNDLO_BNDLO_20_5,,,,,,,,,,COLEBROOK,NO_BNDLO_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,20.3924,15918,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BNDLO-A0""",,762,0,0,0,0,,,12.9,12.9,BNDLO-A0,,NO_BNDLO_20_5_S,No,,,,,,,,,,13.005,4470,1988
T_BRSTL_31_2_LBNTL,,,,,,,,,,COLEBROOK,NO_BRSTL_31_2_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,4.75986,931,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRSTL-A0""",,863.6,0,0,0,0,,,13.15,13.12,BRSTL-A0,,NO_LBNTL_S,No,,,,,,,,,,10.2302,4870,1988
T_BRSTL_BRSTL_31_2,,,,,,,,,,COLEBROOK,NO_BRSTL_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,31.2747,140,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRSTL-A0""",,863.6,0,0,0,0,,,13.12,12.93,BRSTL-A0,,NO_BRSTL_31_2_S,No,,,,,,,,,,9.54175,4870,1488
T_BRYAN_01A_BRYAN_01B,,,,,,,,,,COLEBROOK,NO_BRYAN_01A_D,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,13.5508,647,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRYAN-B0""",,914.4,0,0,0,0,,,21.39,21.93,BRYAN-B0,,NO_BRYAN_01B_S,No,,,,,,,,,,14.0436,37381,5259
T_BRYAN_01B_BRYAN_02A_CKV,,,,,,,,,,COLEBROOK,NO_BRYAN_01B_D,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,5.24208,267,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRYAN-B0""",,914.4,0,0,0,0,,,21.39,21.93,BRYAN-B0,,NO_BRYAN_02A_CKV_S,No,,,,,,,,,,14.7688,37381,4581
T_BRYAN_02A_BRYAN_02B,,,,,,,,,,COLEBROOK,NO_BRYAN_02A_D,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,11.932,697,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRYAN-B0""",,914.4,0,0,0,0,,,21.39,21.93,BRYAN-B0,,NO_BRYAN_02B_S,No,,,,,,,,,,13.5465,37780,4359
T_BRYAN_02B_BRYAN_03A,,,,,,,,,,COLEBROOK,NO_BRYAN_02B_D,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,30.4554,4265,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRYAN-B0""",,914.4,0,0,0,0,,,21.39,21.93,BRYAN-B0,,NO_BRYAN_03A_S,No,,,,,,,,,,13.7297,37780,4859
T_BRYAN_03A_BRYAN_04A_CKV,,,,,,,,,,COLEBROOK,NO_BRYAN_03A_D,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,5.74415,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRYAN-B0""",,914.4,0,0,0,0,,,21.39,21.93,BRYAN-B0,,NO_BRYAN_04A_CKV_S,No,,,,,,,,,,14.2726,37780,5348
T_BRYAN_04A_DELTA,,,,,,,,,,COLEBROOK,NO_BRYAN_04A_D,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,3.54335,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRYAN-B0""",,914.4,0,0,0,0,,,21.39,21.93,BRYAN-B0,,NO_DELTA_S,No,,,,,,,,,,13.6897,37780,5801
T_BRYAN_BRYAN_01A,,,,,,,,,,COLEBROOK,NO_BRYAN_D,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,5.88876,742,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BRYAN-B0""",,914.4,0,0,0,0,,,21.39,21.93,BRYAN-B0,,NO_BRYAN_01A_S,No,,,,,,,,,,14.2098,37381,5801
T_BURNS_01A_ROCKP,,,,,,,,,,COLEBROOK,NO_BURNS_01A_D,INPREP_INC\KSTC\KSTC_PIPE.INC,1.3,,2.2,,,,100,34.1914,942,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BURNS-B0""",,914.4,0,0,0,0,,,25.7,25.42,BURNS-B0,,NO_ROCKP_S,No,,,,,,,,,,12.6595,32025,5736
T_BURNS_BURNS_01A,,,,,,,,,,COLEBROOK,NO_BURNS_D,INPREP_INC\KSTC\KSTC_PIPE.INC,1.3,,2.2,,,,100,35.9295,90,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""BURNS-B0""",,914.4,0,0,0,0,,,25.42,25.13,BURNS-B0,,NO_BURNS_01A_S,No,,,,,,,,,,13.3797,32025,5236
T_CABRP_25_1_STWTV,,,,,,,,,,COLEBROOK,NO_CABRP_25_1_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,17.6364,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CABRP-A0""",,863.6,0,0,0,0,,,13.72,13.62,CABRP-A0,,NO_STWTV_S,No,,,,,,,,,,9.95503,6470,1988
T_CABRP_CABRP_25_1,,,,,,,,,,COLEBROOK,NO_CABRP_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,24.9856,20308,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CABRP-A0""",,863.6,0,0,0,0,,,13.62,13.47,CABRP-A0,,NO_CABRP_25_1_S,No,,,,,,,,,,9.59703,6070,1988
T_CARMA_36_4_CARMA_49_2_CKV,,,,,,,,,,COLEBROOK,NO_CARMA_36_4_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,12.822,11320,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CARMA-A0""",,762,0,0,0,0,,,13.23,13.22,CARMA-A0,,NO_CARMA_49_2_CKV_S,No,,,,,,,,,,14.1937,18470,1288
T_CARMA_49_2_HSKTT,,,,,,,,,,COLEBROOK,NO_CARMA_49_2_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,19.3473,11368,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CARMA-A0""",,762,0,0,0,0,,,13.25,13.23,CARMA-A0,,NO_HSKTT_S,No,,,,,,,,,,13.1091,18670,1988
T_CARMA_CARMA_36_4,,,,,,,,,,COLEBROOK,NO_CARMA_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,36.437,14792,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CARMA-A0""",,762,0,0,0,0,,,13.22,12.78,CARMA-A0,,NO_CARMA_36_4_S,No,,,,,,,,,,13.1543,18270,1988
T_CAROP_23_3_CAROP_39_7,,,,,,,,,,COLEBROOK,NO_CAROP_23_3_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,16.2988,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CAROP-A0""",,863.6,0,0,0,0,,,11.07,11.31,CAROP-A0,,NO_CAROP_39_7_S,No,,,,,,,,,,9.68283,9270,1390
T_CAROP_39_7_CAROP_40_8_CKV,,,,,,,,,,COLEBROOK,NO_CAROP_39_7_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,1.10267,2617,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CAROP-A0""",,863.6,0,0,0,0,,,11.05,11.07,CAROP-A0,,NO_CAROP_40_8_CKV_S,No,,,,,,,,,,9.26897,9670,1188
T_CAROP_40_8_BELPL,,,,,,,,,,COLEBROOK,NO_CAROP_40_8_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,4.06442,2689,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CAROP-A0""",,863.6,0,0,0,0,,,10.99,11.05,CAROP-A0,,NO_BELPL_S,No,,,,,,,,,,9.38744,9670,1988
T_CAROP_CAROP_23_3,,,,,,,,,,COLEBROOK,NO_CAROP_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,23.4067,16728,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CAROP-A0""",,863.6,0,0,0,0,,,11.31,11.65,CAROP-A0,,NO_CAROP_23_3_S,No,,,,,,,,,,9.5928,9270,1988
T_CHPLN_05_1_CHPLN_32_8,,,,,,,,,,COLEBROOK,NO_CHPLN_05_1_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,27.6406,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CHPLN-A0""",,863.6,0,0,0,0,,,12.04,12.44,CHPLN-A0,,NO_CHPLN_32_8_S,No,,,,,,,,,,9.54381,8470,1388
T_CHPLN_32_8_CHPLN_51_6,,,,,,,,,,COLEBROOK,NO_CHPLN_32_8_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,18.7705,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CHPLN-A0""",,863.6,0,0,0,0,,,11.76,12.04,CHPLN-A0,,NO_CHPLN_51_6_S,No,,,,,,,,,,9.62669,8870,1388
T_CHPLN_51_6_CAROP,,,,,,,,,,COLEBROOK,NO_CHPLN_51_6_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,7.83451,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CHPLN-A0""",,863.6,0,0,0,0,,,11.65,11.76,CHPLN-A0,,NO_CAROP_S,No,,,,,,,,,,9.53971,8870,1988
T_CHPLN_CHPLN_05_1,,,,,,,,,,COLEBROOK,NO_CHPLN_D,INPREP_INC\KSTA\KSTA_PIPE.INC,1.3,,2.2,,,,100,5.09344,16083,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CHPLN-A0""",,863.6,0,0,0,0,,,12.44,12.51,CHPLN-A0,,NO_CHPLN_05_1_S,No,,,,,,,,,,9.45027,8470,1988
T_CITGO_LATERAL,,,,,,,,,,COLEBROOK,NO_CITGO_S,INPREP_INC\KSTD\KSTD_PIPE.INC,1.3,,2.2,,,,100,9.39533,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CITGO-B0""",,914.4,0,0,0,0,,,22,21.39,CITGO-B0,,NO_CITGO_D,No,,,,,,,,,,14.7412,42175,4523
T_CNTRL_19_5_CNTRL_21_1_CKV,,,,,,,,,,COLEBROOK,NO_CNTRL_19_5_D,INPREP_INC\KSTB\KSTB_PIPE.INC,1.3,,2.2,,,,100,2.58228,901,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CNTRL-A0""",,762,0,0,0,0,,,20.1,20.1,CNTRL-A0,,NO_CNTRL_21_1_CKV_S,No,,,,,,,,,,11.6772,35070,1428
T_CNTRL_21_1_MDLTP,,,,,,,,,,COLEBROOK,NO_CNTRL_21_1_D,INPREP_INC\KSTB\KSTB_PIPE.INC,1.3,,2.2,,,,100,39.5571,925,0,0,0,0,0,0,0,0,0,0,0,0,0,9930,,"""CNTRL-A0""",,762,0,0,0,0,,,20.1,20.1,CNTRL-A0,,NO_MDLTP_S,No,,,,,,,,,,11.3919,35470,2028
